"celltype_1","celltype_2","correlation"
"Epithelial","Epithelial",1
"Tcell","Epithelial",0.0468963590031498
"Bcell","Epithelial",0.0514952115866936
"Myeloid","Epithelial",0.0457754666768671
"Endothelial","Epithelial",0.141271357314796
"Fibroblast","Epithelial",0.0161308475297619
"Mural","Epithelial",0.0311826094506058
"Epithelial","Tcell",0.0468963590031498
"Tcell","Tcell",1
"Bcell","Tcell",0.812991991496445
"Myeloid","Tcell",0.78931410589038
"Endothelial","Tcell",0.557424050362168
"Fibroblast","Tcell",0.420214596586451
"Mural","Tcell",0.340184333169464
"Epithelial","Bcell",0.0514952115866936
"Tcell","Bcell",0.812991991496445
"Bcell","Bcell",1
"Myeloid","Bcell",0.622183666037281
"Endothelial","Bcell",0.404623219322903
"Fibroblast","Bcell",0.337817832421289
"Mural","Bcell",0.270780143434049
"Epithelial","Myeloid",0.0457754666768671
"Tcell","Myeloid",0.78931410589038
"Bcell","Myeloid",0.622183666037281
"Myeloid","Myeloid",1
"Endothelial","Myeloid",0.681114046804951
"Fibroblast","Myeloid",0.564787746389806
"Mural","Myeloid",0.445489164933164
"Epithelial","Endothelial",0.141271357314796
"Tcell","Endothelial",0.557424050362168
"Bcell","Endothelial",0.404623219322903
"Myeloid","Endothelial",0.681114046804951
"Endothelial","Endothelial",1
"Fibroblast","Endothelial",0.586283860458126
"Mural","Endothelial",0.543694178958784
"Epithelial","Fibroblast",0.0161308475297619
"Tcell","Fibroblast",0.420214596586451
"Bcell","Fibroblast",0.337817832421289
"Myeloid","Fibroblast",0.564787746389806
"Endothelial","Fibroblast",0.586283860458126
"Fibroblast","Fibroblast",1
"Mural","Fibroblast",0.832690420185941
"Epithelial","Mural",0.0311826094506058
"Tcell","Mural",0.340184333169464
"Bcell","Mural",0.270780143434049
"Myeloid","Mural",0.445489164933164
"Endothelial","Mural",0.543694178958784
"Fibroblast","Mural",0.832690420185941
"Mural","Mural",1
