"Gene_set","Term","Overlap","P-value","Adjusted P-value","Odds Ratio","Genes","cluster_name","neglog10padj"
"MSigDB_Hallmark_2020","Inflammatory Response","22/200",1.04758060021944e-20,4.08556434085582e-19,21.7263242375601,"CSF3R;TNFAIP6;CCL20;PTGER2;AQP9;OSM;FPR1;PLAUR;MEFV;F3;EREG;IL1A;SELL;IL1B;NAMPT;NLRP3;PROK2;FFAR2;TIMP1;MXD1;LDLR;CD55","CD14+ Mono",18.3887479456942
"MSigDB_Hallmark_2020","TNF-alpha Signaling via NF-kB","21/200",2.24980831240386e-19,4.38712620918753e-18,20.4393632273693,"SERPINB2;BCL2A1;TNFAIP6;CCL20;PLAUR;G0S2;SLC2A3;SOD2;PTGS2;CXCL2;AREG;F3;EHD1;IL1A;IL1B;NAMPT;PTX3;MXD1;MSC;LDLR;IER3","CD14+ Mono",17.3578198715979
"MSigDB_Hallmark_2020","Complement","11/200",1.06898826059855e-07,1.38968473877812e-06,9.3107497741644,"FCN1;EHD1;CDA;SERPINB2;PLAUR;S100A12;TIMP1;S100A9;F3;CD55;F5","CD14+ Mono",5.85708371178771
"MSigDB_Hallmark_2020","Allograft Rejection","7/200",0.000405111500105015,0.0031598697008191,5.61833462527028,"NCR1;IL1B;NLRP3;TIMP1;CFP;EREG;CCR2","CD14+ Mono",2.50033082541386
"MSigDB_Hallmark_2020","KRAS Signaling Up","7/200",0.000405111500105015,0.0031598697008191,5.61833462527028,"IL1RL2;CCL20;IL1B;PLAUR;G0S2;PTGS2;EREG","CD14+ Mono",2.50033082541386
"MSigDB_Hallmark_2020","Inflammatory Response","16/200",7.14085218812073e-09,2.85634087524829e-07,7.0571892476998,"LYN;GABBR1;PTGIR;GCH1;C5AR1;ICAM4;MEFV;TNFRSF1B;P2RY2;TNFSF10;FFAR2;CD48;TIMP1;CHST2;CD55;KCNJ2","CD16+ Mono",6.54418996517126
"MSigDB_Hallmark_2020","IL-2/STAT5 Signaling","11/199",5.57592861748481e-05,0.0011151857234969,4.65112004843452,"IFITM3;CD79B;CDKN1C;RABGAP1L;BATF3;NFKBIZ;TNFSF10;FLT3LG;TNFRSF8;CD48;TNFRSF1B","CD16+ Mono",2.95265279900772
"MSigDB_Hallmark_2020","Complement","10/200",0.000273814745591979,0.0036508632745597,4.16641806946516,"LYN;FCN1;CDA;SERPINA1;GNG2;CASP5;FYN;TIMP1;CTSS;CD55","CD16+ Mono",2.43760443114671
"MSigDB_Hallmark_2020","Allograft Rejection","9/200",0.0011632602504109,0.0116326025041094,3.71491302144908,"LYN;FGR;PTPRC;PRKCB;CSK;TIMP1;CFP;ITGAL;CTSS","CD16+ Mono",1.93432311186385
"MSigDB_Hallmark_2020","Mitotic Spindle","7/199",0.0146782059262773,0.117425647410218,2.8511875,"CDC42EP4;CDC42EP2;ARHGAP29;ARAP3;SSH2;TUBA4A;VCL","CD16+ Mono",0.930237036714989
"MSigDB_Hallmark_2020","Allograft Rejection","9/200",0.000263584102835901,0.0094890277020924,4.61780104712041,"MAP4K1;CD2;CCL22;CCND2;IRF4;CD1D;LTB;HLA-DOB;HLA-DQA1","CD1C+ cDC",2.02277828549146
