"Gene_set","Term","Overlap","P-value","Adjusted P-value","Combined Score","Genes","cluster_name","neglog10padj"
"MSigDB_Hallmark_2020","IL-2/STAT5 Signaling","15/199",8.68111543164939e-06,0.000141396505321284,49.3510074795143,"ECM1;ABCB1;PTGER2;PTCH1;SPRY4;FLT3LG;COCH;RHOB;BATF;SYNGR2;IRF4;TNFSF11;SMPDL3A;IL18R1;WLS","CXCL14+ mCAF",3.84956132419143
"MSigDB_Hallmark_2020","Estrogen Response Late","15/200",9.22151121660548e-06,0.000141396505321284,48.827394024117,"SLC24A3;WFS1;HR;FOS;AREG;CXCL14;BATF;SCUBE2;OLFM1;SLC9A3R1;ZFP36;PRKAR2B;RPS6KA2;AGR2;TFF1","CXCL14+ mCAF",3.84956132419143
"MSigDB_Hallmark_2020","KRAS Signaling Up","15/200",9.22151121660548e-06,0.000141396505321284,48.827394024117,"ADAMDEC1;ABCB1;JUP;MMD;TMEM176B;TMEM176A;VWA5A;CXCR4;PLAT;GADD45G;TMEM100;ALDH1A3;RBP4;FGF9;PLAU","CXCL14+ mCAF",3.84956132419143
"MSigDB_Hallmark_2020","Inflammatory Response","14/200",3.93228107229091e-05,0.000361769858650764,39.5495453390925,"PTGER4;IL15RA;IFITM1;CD82;SEMA4D;TNFSF15;IL15;PTGER2;SLC4A4;F3;PTPRE;OLR1;LCP2;IL18R1","CXCL14+ mCAF",3.44156761980608
"MSigDB_Hallmark_2020","Xenobiotic Metabolism","14/200",3.93228107229091e-05,0.000361769858650764,39.5495453390925,"NQO1;ITIH4;JUP;MAOA;TMEM176B;FMO3;ETS2;PSMB10;RBP4;GCLC;ALDH2;HSD17B2;PDK4;ASL","CXCL14+ mCAF",3.44156761980608
"MSigDB_Hallmark_2020","TNF-alpha Signaling via NF-kB","25/200",1.42859382804793e-32,4.85721901536298e-31,4498.39268039913,"PPP1R15A;SERPINE1;TNFAIP3;PTGS2;CXCL2;ZC3H12A;IER3;KDM6B;MAP2K3;DUSP5;DUSP2;EGR3;GADD45A;LIF;SOD2;GEM;FOSL1;KLF6;TUBB2A;NR4A3;CLCF1;MAFF;REL;TRIB1;HBEGF","HSP+ tCAF",30.313612313447
"MSigDB_Hallmark_2020","p53 Pathway","7/200",6.96753452538923e-06,0.000118448086931616,132.808554465471,"PPP1R15A;RRAD;GADD45A;LIF;BAIAP2;HBEGF;IER3","HSP+ tCAF",3.92647194922362
"MSigDB_Hallmark_2020","Apoptosis","6/161",2.30433373466989e-05,0.000261157823262587,125.746552491952,"EGR3;TNFRSF12A;GADD45A;PMAIP1;SOD2;IER3","HSP+ tCAF",3.5830969598753
"MSigDB_Hallmark_2020","Hypoxia","6/200",7.73957493345149e-05,0.000438575912895584,88.8927504770783,"PPP1R15A;KLF6;SERPINE1;MAFF;TNFAIP3;IER3","HSP+ tCAF",3.35795522396672
"MSigDB_Hallmark_2020","Inflammatory Response","6/200",7.73957493345149e-05,0.000438575912895584,88.8927504770783,"KLF6;IRAK2;SERPINE1;LIF;BDKRB1;HBEGF","HSP+ tCAF",3.35795522396672
"MSigDB_Hallmark_2020","TNF-alpha Signaling via NF-kB","23/200",3.56116331457426e-34,1.1751838938095e-32,8246.56190594081,"PPP1R15A;KDM6B;CDKN1A;GADD45B;GADD45A;KLF4;SOD2;CXCL3;PTGS2;CXCL2;GEM;ICAM1;NFKBIA;SOCS3;IL6;ZFP36;NR4A3;MYC;MAFF;CCL2;PTX3;TRIB1;IER3","IL6+ iCAF",31.9298941692919
"MSigDB_Hallmark_2020","Interferon Gamma Response","8/200",1.95656993128612e-08,2.15222692441473e-07,374.730373059697,"NFKBIA;SOCS3;IL6;CDKN1A;CCL2;SOD2;PTGS2;ICAM1","IL6+ iCAF",6.66711193987115
"MSigDB_Hallmark_2020","Inflammatory Response","8/200",1.95656993128612e-08,2.15222692441473e-07,374.730373059697,"NFKBIA;IL6;CDKN1A;MYC;BDKRB1;CCL2;ICAM4;ICAM1","IL6+ iCAF",6.66711193987115
"MSigDB_Hallmark_2020","UV Response Up","7/158",8.10604145017576e-08,6.687484196395e-07,374.71841850432,"NFKBIA;DNAJB1;IL6;RRAD;SOD2;CXCL2;ICAM1","IL6+ iCAF",6.17473723127748
"MSigDB_Hallmark_2020","Hypoxia","7/200",4.03470319345175e-07,2.66290410767815e-06,263.796359288056,"PPP1R15A;IL6;CDKN1A;ZFP36;HAS1;MAFF;IER3","IL6+ iCAF",5.57464447241049
"MSigDB_Hallmark_2020","Interferon Gamma Response","64/200",4.26061325596083e-93,1.32079010934785e-91,25975.9584810218,"RTP4;SAMD9L;CXCL9;SECTM1;UBE2L6;IFI35;IFIT1;IFI44L;IFIT3;IFIT2;IL18BP;OASL;IFIH1;DHX58;EPSTI1;TNFSF10;TRIM21;HERC6;BATF2;IL15RA;RSAD2;SP110;DDX58;IL15;HLA-B;TAP1;PLSCR1;IFI27;OAS2;OAS3;IRF7;TRIM14;PSME2;IRF8;CMPK2;LAP3;LY6E;IDO1;CD274;NLRC5;DDX60;USP18;HELZ2;APOL6;GBP4;VCAM1;STAT1;MX2;STAT2;MX1;IFI44;EIF2AK2;ISG15;NMI;PARP14;PML;PARP12;PSMB8;PSMB9;ISG20;BST2;CXCL10;CXCL11;XAF1","ISG15+ mCAF",90.8791661919195
