"Figure","Major_cell_type","Cell_subtype","Cancer_type","Observed_cell_count","Expected_cell_count","Ro_e","Ro_e_display","Ro_e_symbol","N_samples","N_datasets","Chi_square_statistic","Chi_square_df","Chi_square_p_value"
"Supplementary Fig. 6e","Epithelial","Epi_Basal","BRCA",17485,8324.30128688264,2.10047659225798,2.1,"++",51,2,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","COCA",4,1037.27440623384,0.00385626019109377,0,"±",3,2,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","HNCA",335,1050.14300218633,0.319004173053147,0.32,"+",16,3,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","KICA",23,1051.16757192777,0.0218804314499729,0.02,"±",8,3,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","LICA",10,1358.25161483216,0.00736240611886604,0.01,"±",3,1,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","LUCA",68,1904.2243386507,0.0357100781771246,0.04,"±",22,2,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","OVCA",1373,2013.73035261581,0.681819191043374,0.68,"+",44,7,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","PACA",100,3645.91093351937,0.0274279876342099,0.03,"±",14,3,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","PRCA",943,1312.84268389154,0.718288650704705,0.72,"+",44,2,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","SKCA",4978,1123.78907520104,4.42965687231786,4.43,"+++",20,1,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","STCA",162,1296.03974013193,0.124996167157274,0.12,"±",16,1,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","THCA",135,1821.93089701824,0.0740972120407749,0.07,"±",15,2,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Basal","UECA",702,378.394096908616,1.85520864552371,1.86,"++",5,1,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Ciliated","BRCA",187,1640.63191637131,0.113980471874276,0.11,"±",18,2,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Ciliated","COCA",0,204.435836504862,0,0,"−",0,0,1468203.37786152,192,0
"Supplementary Fig. 6e","Epithelial","Epi_Ciliated","HNCA",46,206.97210093246,0.222252176949254,0.22,"+",7,3,1468203.37786152,192,0
