gene,marker_of,major,median_pearson_r
CDH1,Epithelial,Epithelial,0.319063965663315
CDH1,Epithelial,T cell,-0.186790203061809
CDH1,Epithelial,B cell,-0.157684368180698
CDH1,Epithelial,Myeloid,-0.135140262594361
CDH1,Epithelial,Endothelial,-0.16344323517794
CDH1,Epithelial,Fibroblast,-0.182956295409392
CDH1,Epithelial,Mural,-0.153336604418145
CD3E,T cell,Epithelial,-0.1469891652402435
CD3E,T cell,T cell,0.219382366370694
CD3E,T cell,B cell,0.1784668690890355
CD3E,T cell,Myeloid,0.1076095193116815
CD3E,T cell,Endothelial,0.0387614575738523
CD3E,T cell,Fibroblast,0.02427825473184805
CD3E,T cell,Mural,0.013899817192748149
CD79A,B cell,Epithelial,-0.159988566474836
CD79A,B cell,T cell,0.190953609975746
CD79A,B cell,B cell,0.256735018018781
CD79A,B cell,Myeloid,0.05776268523534
CD79A,B cell,Endothelial,0.0323946018307461
CD79A,B cell,Fibroblast,0.0311104933671883
CD79A,B cell,Mural,0.0147892591582974
CD68,Myeloid,Epithelial,-0.17929963579977198
CD68,Myeloid,T cell,0.156764355061501
CD68,Myeloid,B cell,0.1034523899938675
CD68,Myeloid,Myeloid,0.31972886110198695
CD68,Myeloid,Endothelial,0.023730015277572403
CD68,Myeloid,Fibroblast,0.04739085095187835
CD68,Myeloid,Mural,-0.003124695140128135
RAMP2,Endothelial,Epithelial,-0.154602686476036
RAMP2,Endothelial,T cell,0.05670937469222475
RAMP2,Endothelial,B cell,0.05354874486612965
RAMP2,Endothelial,Myeloid,0.03708462531986715
RAMP2,Endothelial,Endothelial,0.2720813891230065
RAMP2,Endothelial,Fibroblast,0.08288986082139049
RAMP2,Endothelial,Mural,0.175837124769817
COL1A1,Fibroblast,Epithelial,-0.5543744732925671
COL1A1,Fibroblast,T cell,0.1644872265256785
COL1A1,Fibroblast,B cell,0.145912548788791
COL1A1,Fibroblast,Myeloid,0.2362904584942615
COL1A1,Fibroblast,Endothelial,0.251637747689922
COL1A1,Fibroblast,Fibroblast,0.704076871299723
COL1A1,Fibroblast,Mural,0.32487617535980196
ACTA2,Mural,Epithelial,-0.34207927875021
ACTA2,Mural,T cell,0.0685319928167299
ACTA2,Mural,B cell,0.061244575166029
ACTA2,Mural,Myeloid,0.0642012766699403
ACTA2,Mural,Endothelial,0.2785073842000505
ACTA2,Mural,Fibroblast,0.38386073859210745
ACTA2,Mural,Mural,0.4151245837380525
