global_anno,gene,sub_anno,median_pearson_r,is_designated
T_NK cell,TCF7,CD8 Tcm/Tn,0.0990419084561544,True
T_NK cell,TCF7,CD8 Tem/Trm,0.10173274268628049,False
T_NK cell,TCF7,CD8 Tem/Temra,0.101173724037327,False
T_NK cell,TCF7,CD8 Trm,0.0831446143401269,False
T_NK cell,TCF7,CD8 Tex,0.0926758824136311,False
T_NK cell,TCF7,CD8 Cycling Tex,0.08824598832484501,False
T_NK cell,TCF7,ISG15+ CD8 T,0.08755147030923696,False
T_NK cell,TCF7,CD4 Tcm/Tn,0.1067613607680055,False
T_NK cell,TCF7,CD4 Tem/Effector,0.1001694096768055,False
T_NK cell,TCF7,CD4 Th1,0.08590849054937935,False
T_NK cell,TCF7,CD4 Th17,0.09069271987131786,False
T_NK cell,TCF7,CD4 Tfh,0.0819681345172614,False
T_NK cell,TCF7,CD4 Treg,0.1009310011501185,False
T_NK cell,TCF7,CD4 Cycling Treg,0.0886434537774313,False
T_NK cell,TCF7,CD4 CXCL13+ T,0.1116360778411005,False
T_NK cell,TCF7,NK,0.08856456133125551,False
T_NK cell,TCF7,CD16+ NK,0.08814175695144215,False
T_NK cell,TCF7,CD16- NK,0.08388086868440435,False
T_NK cell,TCF7,γδ T,0.08905388851310389,False
T_NK cell,TCF7,MAIT,0.09086629680820585,False
T_NK cell,TCF7,ILC3,0.07949099207802224,False
T_NK cell,SH2D1A,CD8 Tcm/Tn,0.116488778517337,False
T_NK cell,SH2D1A,CD8 Tem/Trm,0.135689976285668,True
T_NK cell,SH2D1A,CD8 Tem/Temra,0.139499740265757,False
T_NK cell,SH2D1A,CD8 Trm,0.123966138626119,False
T_NK cell,SH2D1A,CD8 Tex,0.137526467022339,False
T_NK cell,SH2D1A,CD8 Cycling Tex,0.123655135313475,False
T_NK cell,SH2D1A,ISG15+ CD8 T,0.133826575391395,False
T_NK cell,SH2D1A,CD4 Tcm/Tn,0.127773337952057,False
T_NK cell,SH2D1A,CD4 Tem/Effector,0.127277480391479,False
T_NK cell,SH2D1A,CD4 Th1,0.122079261768358,False
T_NK cell,SH2D1A,CD4 Th17,0.123507186748262,False
T_NK cell,SH2D1A,CD4 Tfh,0.108018054909511,False
T_NK cell,SH2D1A,CD4 Treg,0.137670910789552,False
T_NK cell,SH2D1A,CD4 Cycling Treg,0.12119035901092,False
T_NK cell,SH2D1A,CD4 CXCL13+ T,0.136580890746931,False
T_NK cell,SH2D1A,NK,0.130134144462857,False
T_NK cell,SH2D1A,CD16+ NK,0.131300911448772,False
T_NK cell,SH2D1A,CD16- NK,0.128900253479607,False
T_NK cell,SH2D1A,γδ T,0.126325197999937,False
T_NK cell,SH2D1A,MAIT,0.12845355638724,False
T_NK cell,SH2D1A,ILC3,0.103967280695862,False
T_NK cell,GZMH,CD8 Tcm/Tn,0.0794458801615583,False
T_NK cell,GZMH,CD8 Tem/Trm,0.0868111452855171,False
T_NK cell,GZMH,CD8 Tem/Temra,0.0913270983448837,True
T_NK cell,GZMH,CD8 Trm,0.0893278136221773,False
T_NK cell,GZMH,CD8 Tex,0.0894134226642374,False
T_NK cell,GZMH,CD8 Cycling Tex,0.0870795360692075,False
T_NK cell,GZMH,ISG15+ CD8 T,0.0872594514458189,False
T_NK cell,GZMH,CD4 Tcm/Tn,0.0835061586524159,False
T_NK cell,GZMH,CD4 Tem/Effector,0.0846906583852073,False
T_NK cell,GZMH,CD4 Th1,0.084197795120826,False
T_NK cell,GZMH,CD4 Th17,0.0860982036446123,False
T_NK cell,GZMH,CD4 Tfh,0.0797992880944062,False
T_NK cell,GZMH,CD4 Treg,0.086466000086187,False
T_NK cell,GZMH,CD4 Cycling Treg,0.0826942121278364,False
T_NK cell,GZMH,CD4 CXCL13+ T,0.0834095289621,False
T_NK cell,GZMH,NK,0.0878904521200947,False
T_NK cell,GZMH,CD16+ NK,0.0900012117029794,False
T_NK cell,GZMH,CD16- NK,0.0871049054475107,False
T_NK cell,GZMH,γδ T,0.092991799225635,False
T_NK cell,GZMH,MAIT,0.0877479503228755,False
T_NK cell,GZMH,ILC3,0.0760188874790265,False
T_NK cell,ITGA1,CD8 Tcm/Tn,0.04493639858809065,False
T_NK cell,ITGA1,CD8 Tem/Trm,0.0565592773087132,False
T_NK cell,ITGA1,CD8 Tem/Temra,0.059077272423656804,False
T_NK cell,ITGA1,CD8 Trm,0.0731264228743354,True
T_NK cell,ITGA1,CD8 Tex,0.06186047869521755,False
T_NK cell,ITGA1,CD8 Cycling Tex,0.0621304878299377,False
T_NK cell,ITGA1,ISG15+ CD8 T,0.04135542288907165,False
T_NK cell,ITGA1,CD4 Tcm/Tn,0.0465335257694386,False
T_NK cell,ITGA1,CD4 Tem/Effector,0.0599515106717706,False
T_NK cell,ITGA1,CD4 Th1,0.0680460074714925,False
T_NK cell,ITGA1,CD4 Th17,0.0737128334001071,False
T_NK cell,ITGA1,CD4 Tfh,0.07132830018525954,False
T_NK cell,ITGA1,CD4 Treg,0.0554023272083893,False
T_NK cell,ITGA1,CD4 Cycling Treg,0.0526264210258263,False
T_NK cell,ITGA1,CD4 CXCL13+ T,0.04140075460642954,False
T_NK cell,ITGA1,NK,0.06704601340454394,False
T_NK cell,ITGA1,CD16+ NK,0.07036013668942995,False
T_NK cell,ITGA1,CD16- NK,0.0703970422979084,False
T_NK cell,ITGA1,γδ T,0.06938199037910454,False
T_NK cell,ITGA1,MAIT,0.0659664824223431,False
T_NK cell,ITGA1,ILC3,0.07194044290906976,False
T_NK cell,LAG3,CD8 Tcm/Tn,0.08153014669777815,False
T_NK cell,LAG3,CD8 Tem/Trm,0.09816178762138805,False
T_NK cell,LAG3,CD8 Tem/Temra,0.10141665189843349,False
T_NK cell,LAG3,CD8 Trm,0.10201831148513901,False
T_NK cell,LAG3,CD8 Tex,0.1143446080646645,True
T_NK cell,LAG3,CD8 Cycling Tex,0.106705868769413,False
T_NK cell,LAG3,ISG15+ CD8 T,0.1024173930993405,False
T_NK cell,LAG3,CD4 Tcm/Tn,0.0861277545325448,False
T_NK cell,LAG3,CD4 Tem/Effector,0.09256951087483956,False
T_NK cell,LAG3,CD4 Th1,0.09407265251217775,False
T_NK cell,LAG3,CD4 Th17,0.09729043103543485,False
T_NK cell,LAG3,CD4 Tfh,0.08660138952265845,False
T_NK cell,LAG3,CD4 Treg,0.10476622948445499,False
T_NK cell,LAG3,CD4 Cycling Treg,0.1080705734984765,False
T_NK cell,LAG3,CD4 CXCL13+ T,0.0935148220092139,False
T_NK cell,LAG3,NK,0.096224308598413,False
T_NK cell,LAG3,CD16+ NK,0.100819298791936,False
T_NK cell,LAG3,CD16- NK,0.0947382871637311,False
T_NK cell,LAG3,γδ T,0.1088246357627065,False
T_NK cell,LAG3,MAIT,0.09514946560614974,False
T_NK cell,LAG3,ILC3,0.08117261346877755,False
T_NK cell,HAVCR2,CD8 Tcm/Tn,0.0464297210356928,False
T_NK cell,HAVCR2,CD8 Tem/Trm,0.07300660927998265,False
T_NK cell,HAVCR2,CD8 Tem/Temra,0.07665499251688135,False
T_NK cell,HAVCR2,CD8 Trm,0.08050760634960935,False
T_NK cell,HAVCR2,CD8 Tex,0.09595745487150875,False
T_NK cell,HAVCR2,CD8 Cycling Tex,0.09833672299065804,True
T_NK cell,HAVCR2,ISG15+ CD8 T,0.08030753709202346,False
T_NK cell,HAVCR2,CD4 Tcm/Tn,0.052271724945299955,False
T_NK cell,HAVCR2,CD4 Tem/Effector,0.06966071581889641,False
T_NK cell,HAVCR2,CD4 Th1,0.07582940483747244,False
T_NK cell,HAVCR2,CD4 Th17,0.07827076606282934,False
T_NK cell,HAVCR2,CD4 Tfh,0.06554569908549035,False
T_NK cell,HAVCR2,CD4 Treg,0.08132812049069821,False
T_NK cell,HAVCR2,CD4 Cycling Treg,0.0990177040279827,False
T_NK cell,HAVCR2,CD4 CXCL13+ T,0.06127210927573065,False
T_NK cell,HAVCR2,NK,0.07520223648330124,False
T_NK cell,HAVCR2,CD16+ NK,0.0806796652567732,False
T_NK cell,HAVCR2,CD16- NK,0.07601700149311515,False
T_NK cell,HAVCR2,γδ T,0.0947825033099417,False
