"cancer_type","sample_id","Malignancy","mean_cnv","median_cnv","n_spots"
"BRCA","1142243F","Normal",220.531553,206,4231
"BRCA","1142243F","Malignant",864.215613,826,269
"BRCA","1142243F","Boundary",431.580392,316,255
"BRCA","1160920F","Malignant",2513.20638,2836,2069
"BRCA","1160920F","Boundary",1522.92081,1390,985
"BRCA","1160920F","Normal",772.023965,912,1836
"BRCA","CID4290","Normal",307.676306,229,1971
"BRCA","CID4290","Boundary",323.271255,229,247
"BRCA","CID4290","Malignant",537.425234,663,214
"BRCA","CID4465","Normal",499.097331,286,637
"BRCA","CID4465","Malignant",2734.30126,2912,239
"BRCA","CID4465","Boundary",1187.32537,1049,335
"BRCA","CID44971","Normal",742.149077,724,758
"BRCA","CID44971","Malignant",3206.08597,3501,221
"BRCA","CID44971","Boundary",1311.6776,724,183
"BRCA","CID4535","Malignant",1599,1646,365
"BRCA","CID4535","Normal",348.141935,191,620
"BRCA","CID4535","Boundary",972.690141,814,142
"COCA","Colon_10x_Visium_SampleP2_CRC","Malignant",7484.64461,7665,1995
"COCA","Colon_10x_Visium_SampleP2_CRC","Normal",378.294479,0,1793
"COCA","Colon_10x_Visium_SampleP2_CRC","Boundary",3552.42827,3648,481
"LUCA","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Normal",2795.38685,3652,2130
"LUCA","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Malignant",4165.08924,4308,3272
"LUCA","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Boundary",3774.54119,3652,789
"OVCA","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Normal",403.621513,135,3728
"OVCA","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Boundary",953.566038,373,159
"OVCA","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Malignant",3585.93333,3985,780
"LUCA","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Malignant",5861.50233,5925,1720
"LUCA","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Normal",245.975748,32,1237
