"cancer_type","sample_id","Malignancy","n"
"BRCA","1142243F","Normal",4231
"BRCA","1142243F","Malignant",269
"BRCA","1142243F","Boundary",255
"BRCA","1160920F","Malignant",2069
"BRCA","1160920F","Boundary",985
"BRCA","1160920F","Normal",1836
"BRCA","CID4290","Normal",1971
"BRCA","CID4290","Boundary",247
"BRCA","CID4290","Malignant",214
"BRCA","CID4465","Normal",637
"BRCA","CID4465","Malignant",239
"BRCA","CID4465","Boundary",335
"BRCA","CID44971","Normal",758
"BRCA","CID44971","Malignant",221
"BRCA","CID44971","Boundary",183
"BRCA","CID4535","Malignant",365
"BRCA","CID4535","Normal",620
"BRCA","CID4535","Boundary",142
"COCA","Colon_10x_Visium_SampleP2_CRC","Malignant",1995
"COCA","Colon_10x_Visium_SampleP2_CRC","Normal",1793
"COCA","Colon_10x_Visium_SampleP2_CRC","Boundary",481
"LUCA","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Normal",2130
"LUCA","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Malignant",3272
"LUCA","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Boundary",789
"OVCA","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Normal",3728
"OVCA","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Boundary",159
"OVCA","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Malignant",780
"LUCA","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Malignant",1720
"LUCA","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Normal",1237
"LUCA","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Boundary",859
"BRCA","CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107","Malignant",648
"BRCA","CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107","Normal",616
"BRCA","CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107","Boundary",378
"LUCA","E_MTAB_13530_P10_T1","Malignant",755
"LUCA","E_MTAB_13530_P10_T1","Boundary",490
"LUCA","E_MTAB_13530_P10_T1","Normal",923
"LUCA","E_MTAB_13530_P10_T2","Malignant",343
"LUCA","E_MTAB_13530_P10_T2","Boundary",340
"LUCA","E_MTAB_13530_P10_T2","Normal",1272
"LUCA","E_MTAB_13530_P10_T3","Normal",2249
"LUCA","E_MTAB_13530_P10_T3","Boundary",122
"LUCA","E_MTAB_13530_P10_T3","Malignant",203
"LUCA","E_MTAB_13530_P10_T4","Normal",1620
"LUCA","E_MTAB_13530_P10_T4","Boundary",368
"LUCA","E_MTAB_13530_P10_T4","Malignant",404
"LUCA","E_MTAB_13530_P11_T1","Normal",644
"LUCA","E_MTAB_13530_P11_T1","Boundary",192
"LUCA","E_MTAB_13530_P11_T1","Malignant",233
"LUCA","E_MTAB_13530_P11_T2","Normal",822
"LUCA","E_MTAB_13530_P11_T2","Boundary",187
"LUCA","E_MTAB_13530_P11_T2","Malignant",108
"LUCA","E_MTAB_13530_P11_T3","Normal",1227
"LUCA","E_MTAB_13530_P11_T3","Malignant",96
"LUCA","E_MTAB_13530_P11_T3","Boundary",141
"LUCA","E_MTAB_13530_P11_T4","Normal",1104
"LUCA","E_MTAB_13530_P11_T4","Malignant",142
"LUCA","E_MTAB_13530_P11_T4","Boundary",165
"LUCA","E_MTAB_13530_P15_T1","Normal",1332
"LUCA","E_MTAB_13530_P15_T1","Boundary",747
"LUCA","E_MTAB_13530_P15_T1","Malignant",524
"LUCA","E_MTAB_13530_P15_T2","Boundary",849
"LUCA","E_MTAB_13530_P15_T2","Normal",1698
"LUCA","E_MTAB_13530_P15_T2","Malignant",562
"LUCA","E_MTAB_13530_P16_T1","Normal",1650
"LUCA","E_MTAB_13530_P16_T1","Malignant",308
"LUCA","E_MTAB_13530_P16_T1","Boundary",269
"LUCA","E_MTAB_13530_P16_T2","Normal",1692
"LUCA","E_MTAB_13530_P16_T2","Boundary",264
"LUCA","E_MTAB_13530_P16_T2","Malignant",194
"LUCA","E_MTAB_13530_P17_T1","Malignant",847
"LUCA","E_MTAB_13530_P17_T1","Boundary",803
"LUCA","E_MTAB_13530_P17_T1","Normal",999
"LUCA","E_MTAB_13530_P17_T2","Normal",1173
"LUCA","E_MTAB_13530_P17_T2","Malignant",869
"LUCA","E_MTAB_13530_P17_T2","Boundary",904
"LUCA","E_MTAB_13530_P19_T1","Normal",1108
"LUCA","E_MTAB_13530_P19_T1","Boundary",717
"LUCA","E_MTAB_13530_P19_T1","Malignant",665
"LUCA","E_MTAB_13530_P19_T2","Normal",641
"LUCA","E_MTAB_13530_P19_T2","Malignant",1013
"LUCA","E_MTAB_13530_P19_T2","Boundary",695
"LUCA","E_MTAB_13530_P24_T1","Normal",3053
"LUCA","E_MTAB_13530_P24_T1","Boundary",74
"LUCA","E_MTAB_13530_P24_T1","Malignant",123
"LUCA","E_MTAB_13530_P24_T2","Malignant",479
"LUCA","E_MTAB_13530_P24_T2","Normal",2245
"LUCA","E_MTAB_13530_P24_T2","Boundary",427
"LUCA","E_MTAB_13530_P25_T1","Normal",694
"LUCA","E_MTAB_13530_P25_T1","Boundary",226
"LUCA","E_MTAB_13530_P25_T1","Malignant",261
"LUCA","E_MTAB_13530_P25_T2","Normal",922
"LUCA","E_MTAB_13530_P25_T2","Malignant",242
"LUCA","E_MTAB_13530_P25_T2","Boundary",138
"SKCA","GSE144239_GSM4565823","Normal",584
"SKCA","GSE144239_GSM4565823","Malignant",62
"SKCA","GSE144239_GSM4565823","Boundary",55
"SKCA","GSE144239_GSM4565824","Normal",604
"SKCA","GSE144239_GSM4565824","Malignant",30
"SKCA","GSE144239_GSM4565824","Boundary",18
"SKCA","GSE144239_GSM4565825","Malignant",762
"SKCA","GSE144239_GSM4565825","Normal",1529
"SKCA","GSE144239_GSM4565825","Boundary",354
"SKCA","GSE144239_GSM4565826","Normal",2207
"SKCA","GSE144239_GSM4565826","Malignant",62
"SKCA","GSE144239_GSM4565826","Boundary",59
"STCA","GSE251950_20_00331_LI_SING","Boundary",528
"STCA","GSE251950_20_00331_LI_SING","Malignant",1408
"STCA","GSE251950_20_00331_LI_SING","Normal",694
"STCA","GSE251950_21_00731_LI_SING","Normal",3758
"STCA","GSE251950_21_00731_LI_SING","Boundary",214
"STCA","GSE251950_21_00731_LI_SING","Malignant",276
"STCA","GSE251950_21_00732_LI_SING","Normal",2033
"STCA","GSE251950_21_00732_LI_SING","Malignant",787
"STCA","GSE251950_21_00732_LI_SING","Boundary",217
"STCA","GSE251950_21_00733_LI_SING","Normal",3731
"STCA","GSE251950_21_00733_LI_SING","Malignant",157
"STCA","GSE251950_21_00733_LI_SING","Boundary",354
"STCA","GSE251950_21_00734_LI_SING","Malignant",734
"STCA","GSE251950_21_00734_LI_SING","Normal",2502
"STCA","GSE251950_21_00734_LI_SING","Boundary",337
"STCA","GSE251950_21_01251_LI_SING","Normal",1534
"STCA","GSE251950_21_01251_LI_SING","Malignant",452
"STCA","GSE251950_21_01251_LI_SING","Boundary",416
"STCA","GSE251950_21_01253_LI_SING","Normal",1277
"STCA","GSE251950_21_01253_LI_SING","Malignant",406
"STCA","GSE251950_21_01253_LI_SING","Boundary",181
"STCA","GSE251950_21_01254_LI_SING","Boundary",438
"STCA","GSE251950_21_01254_LI_SING","Normal",2104
"STCA","GSE251950_21_01254_LI_SING","Malignant",441
"STCA","GSE251950_21_01675_LI_SING","Normal",2814
"STCA","GSE251950_21_01675_LI_SING","Malignant",278
"STCA","GSE251950_21_01675_LI_SING","Boundary",396
"HNCA","GSM5494475_HNSCC201125T04","Malignant",137
"HNCA","GSM5494475_HNSCC201125T04","Normal",907
"HNCA","GSM5494475_HNSCC201125T04","Boundary",84
"HNCA","GSM5494476_HNSCC201125T05","Normal",1035
"HNCA","GSM5494476_HNSCC201125T05","Malignant",496
"HNCA","GSM5494476_HNSCC201125T05","Boundary",164
"HNCA","GSM5494477_HNSCC201125T07","Normal",1078
"HNCA","GSM5494477_HNSCC201125T07","Boundary",49
"HNCA","GSM5494477_HNSCC201125T07","Malignant",61
"HNCA","GSM5494478_HNSCC201125T10","Normal",1277
"HNCA","GSM5494478_HNSCC201125T10","Malignant",111
"HNCA","GSM5494478_HNSCC201125T10","Boundary",132
"HNCA","GSM5494479_P210325T1","Normal",1713
"HNCA","GSM5494479_P210325T1","Boundary",31
"HNCA","GSM5494479_P210325T1","Malignant",27
"HNCA","GSM5494480_P210325T3","Normal",1614
"HNCA","GSM5494480_P210325T3","Malignant",68
"HNCA","GSM5494480_P210325T3","Boundary",66
"HNCA","GSM5494481_P210325T5","Normal",1240
"HNCA","GSM5494481_P210325T5","Malignant",99
"HNCA","GSM5494481_P210325T5","Boundary",89
"HNCA","GSM5494482_P210325T6","Normal",761
"HNCA","GSM5494482_P210325T6","Boundary",71
"HNCA","GSM5494482_P210325T6","Malignant",53
"KICA","GSM5924030_ffpe_c_2","Normal",3312
"KICA","GSM5924030_ffpe_c_2","Boundary",452
"KICA","GSM5924030_ffpe_c_2","Malignant",685
"KICA","GSM5924031_ffpe_c_3","Malignant",1083
"KICA","GSM5924031_ffpe_c_3","Normal",3228
"KICA","GSM5924031_ffpe_c_3","Boundary",443
"KICA","GSM5924032_ffpe_c_4","Malignant",1770
"KICA","GSM5924032_ffpe_c_4","Normal",1707
"KICA","GSM5924032_ffpe_c_4","Boundary",352
"KICA","GSM5924033_ffpe_c_7","Boundary",622
"KICA","GSM5924033_ffpe_c_7","Normal",2141
"KICA","GSM5924033_ffpe_c_7","Malignant",2176
"KICA","GSM5924034_ffpe_c_10","Normal",4416
"KICA","GSM5924034_ffpe_c_10","Malignant",206
"KICA","GSM5924034_ffpe_c_10","Boundary",112
"KICA","GSM5924035_ffpe_c_20","Normal",3388
"KICA","GSM5924035_ffpe_c_20","Boundary",549
"KICA","GSM5924035_ffpe_c_20","Malignant",863
"KICA","GSM5924036_ffpe_c_21","Normal",3954
"KICA","GSM5924036_ffpe_c_21","Malignant",609
"KICA","GSM5924036_ffpe_c_21","Boundary",318
"KICA","GSM5924037_ffpe_c_34","Normal",2037
"KICA","GSM5924037_ffpe_c_34","Malignant",1078
"KICA","GSM5924037_ffpe_c_34","Boundary",303
"KICA","GSM5924038_ffpe_c_36","Normal",2650
"KICA","GSM5924038_ffpe_c_36","Malignant",290
"KICA","GSM5924038_ffpe_c_36","Boundary",265
"KICA","GSM5924039_ffpe_c_39","Boundary",937
"KICA","GSM5924039_ffpe_c_39","Normal",1093
"KICA","GSM5924039_ffpe_c_39","Malignant",2901
"KICA","GSM5924040_ffpe_c_45","Malignant",1305
"KICA","GSM5924040_ffpe_c_45","Normal",2628
"KICA","GSM5924040_ffpe_c_45","Boundary",607
"KICA","GSM5924041_ffpe_c_51","Normal",3172
"KICA","GSM5924041_ffpe_c_51","Malignant",903
"KICA","GSM5924041_ffpe_c_51","Boundary",249
"KICA","GSM5924042_frozen_a_1","Boundary",162
"KICA","GSM5924042_frozen_a_1","Normal",1082
"KICA","GSM5924042_frozen_a_1","Malignant",206
"KICA","GSM5924043_frozen_a_3","Malignant",945
"KICA","GSM5924043_frozen_a_3","Normal",332
"KICA","GSM5924043_frozen_a_3","Boundary",162
"KICA","GSM5924044_frozen_a_15","Malignant",764
"KICA","GSM5924044_frozen_a_15","Normal",839
"KICA","GSM5924044_frozen_a_15","Boundary",371
"KICA","GSM5924045_frozen_a_17","Normal",1603
"KICA","GSM5924045_frozen_a_17","Boundary",56
"KICA","GSM5924045_frozen_a_17","Malignant",33
"KICA","GSM5924046_frozen_b_1","Malignant",186
"KICA","GSM5924046_frozen_b_1","Normal",1648
"KICA","GSM5924046_frozen_b_1","Boundary",112
"KICA","GSM5924048_frozen_b_13","Normal",1251
"KICA","GSM5924048_frozen_b_13","Boundary",116
"KICA","GSM5924048_frozen_b_13","Malignant",177
"KICA","GSM5924049_frozen_b_18","Normal",658
"KICA","GSM5924049_frozen_b_18","Boundary",236
"KICA","GSM5924049_frozen_b_18","Malignant",292
"KICA","GSM5924050_frozen_c_2","Malignant",125
"KICA","GSM5924050_frozen_c_2","Boundary",96
"KICA","GSM5924050_frozen_c_2","Normal",939
"KICA","GSM5924051_frozen_c_5","Normal",1420
"KICA","GSM5924051_frozen_c_5","Malignant",210
"KICA","GSM5924051_frozen_c_5","Boundary",357
"KICA","GSM5924052_frozen_c_23","Normal",1527
"KICA","GSM5924052_frozen_c_23","Boundary",335
"KICA","GSM5924052_frozen_c_23","Malignant",664
"KICA","GSM5924053_frozen_c_57","Normal",990
"KICA","GSM5924053_frozen_c_57","Malignant",29
"KICA","GSM5924053_frozen_c_57","Boundary",58
"HNCA","GSM6030901_patient_1","Boundary",240
"HNCA","GSM6030901_patient_1","Malignant",185
"HNCA","GSM6030901_patient_1","Normal",903
"HNCA","GSM6030902_patient_2","Boundary",126
"HNCA","GSM6030902_patient_2","Normal",883
"HNCA","GSM6030902_patient_2","Malignant",79
"BRCA","GSM6177599_NYU_BRCA0_Vis","Normal",1642
"BRCA","GSM6177599_NYU_BRCA0_Vis","Malignant",290
"BRCA","GSM6177599_NYU_BRCA0_Vis","Boundary",345
"BRCA","GSM6177603_NYU_BRCA2_Vis","Normal",1874
"BRCA","GSM6177603_NYU_BRCA2_Vis","Boundary",205
"BRCA","GSM6177603_NYU_BRCA2_Vis","Malignant",250
"STCA","GSM6177607_NYU_GIST1_Vis","Normal",1683
"STCA","GSM6177607_NYU_GIST1_Vis","Malignant",232
"STCA","GSM6177607_NYU_GIST1_Vis","Boundary",406
"STCA","GSM6177609_NYU_GIST2_Vis","Normal",2464
"STCA","GSM6177609_NYU_GIST2_Vis","Boundary",15
"STCA","GSM6177609_NYU_GIST2_Vis","Malignant",11
"LICA","GSM6177612_NYU_LIHC1_Vis","Boundary",276
"LICA","GSM6177612_NYU_LIHC1_Vis","Normal",1054
"LICA","GSM6177612_NYU_LIHC1_Vis","Malignant",305
"OVCA","GSM6177614_NYU_OVCA1_Vis","Malignant",358
"OVCA","GSM6177614_NYU_OVCA1_Vis","Boundary",577
"OVCA","GSM6177614_NYU_OVCA1_Vis","Normal",825
"OVCA","GSM6177617_NYU_OVCA3_Vis","Boundary",162
"OVCA","GSM6177617_NYU_OVCA3_Vis","Normal",858
"OVCA","GSM6177617_NYU_OVCA3_Vis","Malignant",184
"PDAC","GSM6177618_NYU_PDAC1_Vis","Boundary",483
"PDAC","GSM6177618_NYU_PDAC1_Vis","Malignant",231
"PDAC","GSM6177618_NYU_PDAC1_Vis","Normal",894
"UCEC","GSM6177623_NYU_UCEC3_Vis","Normal",730
"UCEC","GSM6177623_NYU_UCEC3_Vis","Malignant",359
"UCEC","GSM6177623_NYU_UCEC3_Vis","Boundary",217
"HNCA","GSM6339631_s1","Normal",999
"HNCA","GSM6339631_s1","Boundary",37
"HNCA","GSM6339631_s1","Malignant",37
"HNCA","GSM6339632_s2","Boundary",228
"HNCA","GSM6339632_s2","Normal",1118
"HNCA","GSM6339632_s2","Malignant",382
"HNCA","GSM6339633_s3","Normal",458
"HNCA","GSM6339633_s3","Boundary",101
"HNCA","GSM6339633_s3","Malignant",398
"HNCA","GSM6339634_s4","Malignant",61
"HNCA","GSM6339634_s4","Normal",1792
"HNCA","GSM6339634_s4","Boundary",48
"HNCA","GSM6339635_s5","Malignant",171
"HNCA","GSM6339635_s5","Normal",1323
"HNCA","GSM6339635_s5","Boundary",171
"HNCA","GSM6339636_s6","Normal",2729
"HNCA","GSM6339636_s6","Malignant",78
"HNCA","GSM6339636_s6","Boundary",154
"HNCA","GSM6339637_s7","Normal",2196
"HNCA","GSM6339637_s7","Boundary",17
"HNCA","GSM6339637_s7","Malignant",4
"HNCA","GSM6339638_s8","Normal",2193
"HNCA","GSM6339638_s8","Boundary",73
"HNCA","GSM6339638_s8","Malignant",9
"HNCA","GSM6339639_s9","Normal",2949
"HNCA","GSM6339639_s9","Boundary",93
"HNCA","GSM6339639_s9","Malignant",28
"HNCA","GSM6339640_s10","Normal",2339
"HNCA","GSM6339640_s10","Malignant",151
"HNCA","GSM6339640_s10","Boundary",179
"HNCA","GSM6339641_s11","Normal",1598
"HNCA","GSM6339641_s11","Malignant",120
"HNCA","GSM6339641_s11","Boundary",185
"HNCA","GSM6339642_s12","Normal",1090
"HNCA","GSM6339642_s12","Boundary",178
"HNCA","GSM6339642_s12","Malignant",202
