"celltype","source_column","correlation","p_value","n","lineage"
"Epi_Cycle","Epi0",0.29247239,0,635720,"Epithelial"
"Epi_Hypox-Stress","Epi8",0.22345406,0,635720,"Epithelial"
"Epi_Hormonal","Epi2",0.17671747,0,635720,"Epithelial"
"Epi_TNF","Epi4",0.10533372,0,635720,"Epithelial"
"Epi_Squamous","Epi7",0.09949397,0,635720,"Epithelial"
"Epi_Interferon","Epi5",0.07465345,0,635720,"Epithelial"
"Epi_cEMT","Epi9",0.07333869,0,635720,"Epithelial"
"TMEM100+_EC","TMEM100+_EC",0.06812366,0,635720,"Endothelial"
"Epi_Basal","Epi11",0.06110588,0,635720,"Epithelial"
"SPP1+_cycMacro","SPP1+_cycMacro",0.05572722,0,635720,"Myeloid"
"Epi_MHCII","Epi12",0.05146952,0,635720,"Epithelial"
"Epi_Glandular","Epi6",0.05124424,0,635720,"Epithelial"
"Epi_Luminal","Epi1",0.04874139,0,635720,"Epithelial"
"Plasmablast","Plasmablasts",0.04645663,1.2e-300,635720,"B cell"
"HMGB2+_cycEC","HMGB2+_cycEC",0.03962784,2.83e-219,635720,"Endothelial"
"cyc_mCAF","cyc_mCAF",0.02810714,2.82e-111,635720,"Fibroblast"
"Epi_Ciliated","Epi14",0.02664223,3.58e-100,635720,"Epithelial"
"Epi_Oxphos-Ion","Epi15",0.01578206,2.58e-36,635720,"Epithelial"
"Epi_Hypox-Adapt","Epi13",0.00769651,8.43e-10,635720,"Epithelial"
"HSPA6+_Macro","HSPA6+_Macro",-0.0032308,0.00999642,635720,"Myeloid"
"tCAF","tCAF",-0.0033023,0.00846411,635720,"Fibroblast"
"CCL2+_iEC","CCL2+_iEC",-0.0048094,0.00012574,635720,"Endothelial"
"Epi_ER-Stress","Epi10",-0.0080715,1.23e-10,635720,"Epithelial"
"HMOX1+_iEC","HMOX1+_iEC",-0.0110858,9.64e-19,635720,"Endothelial"
"Epi_Xenobiotic","Epi3",-0.0232724,7.03e-77,635720,"Epithelial"
"TNFSF10+_Macro","TNFSF10+_Macro",-0.0268987,4.5e-102,635720,"Myeloid"
"CXCL14+_mCAF","CXCL14+_mCAF",-0.0287916,1.15e-116,635720,"Fibroblast"
"SPP1+_Macro","SPP1+_Macro",-0.0325351,1.93e-148,635720,"Myeloid"
"SPP1+_CXCL3+_Macro","SPP1+_CXCL3+_Macro",-0.0330321,5.97e-153,635720,"Myeloid"
"Cycling_Bgc","Proliferative_germinal_center_B",-0.0408603,5.28e-233,635720,"B cell"
"Epi_Oxphos-Metal","Epi16",-0.0482198,0,635720,"Epithelial"
"Pericyte","Pericyte",-0.0508008,0,635720,"Mural"
"Plasma","Plasma",-0.0576246,0,635720,"B cell"
"myoCAF","myoCAF",-0.0637622,0,635720,"Fibroblast"
"Tip_EC","Tip_EC",-0.0641454,0,635720,"Endothelial"
"Fibrosis_PGF+_Tip_EC","Fibrosis_PGF+_Tip_EC",-0.0643892,0,635720,"Endothelial"
"CD8_Cycling_Tex","cycling_exT",-0.0674977,0,635720,"T cell"
"CD4_Cycling_Treg","cycling_regT",-0.0686191,0,635720,"T cell"
"SPP1+_MT1+_Macro","SPP1+_MT1+_Macro",-0.0686378,0,635720,"Myeloid"
"Arterial_EC","Arterial_EC",-0.0714041,0,635720,"Endothelial"
"FOLR2+_Macro","FOLR2+_Macro",-0.0768427,0,635720,"Myeloid"
"Fibroblast","Fibroblast",-0.0774903,0,635720,"Fibroblast"
"CD14+_Mono","CD14+_Mono",-0.0792712,0,635720,"Myeloid"
"pnCAF","pnCAF",-0.0846168,0,635720,"Fibroblast"
"PGF+_Tip_EC","PGF+_Tip_EC",-0.0866975,0,635720,"Endothelial"
"ISG15+_mCAF","ISG15+_mCAF",-0.0869828,0,635720,"Fibroblast"
"mCAF","mCAF",-0.0941248,0,635720,"Fibroblast"
"Lymphatic_EC","Lymphatic_EC",-0.0999484,0,635720,"Endothelial"
"iCAF","iCAF",-0.1009412,0,635720,"Fibroblast"
"Mast","Mast",-0.1055288,0,635720,"Myeloid"
"IL6+_iCAF","IL6+_iCAF",-0.1079336,0,635720,"Fibroblast"
"CD14+_EC","CD14+_circEC",-0.1086104,0,635720,"Endothelial"
"CD1C+_cDC","CD1C+_cDC",-0.116822,0,635720,"Myeloid"
"LAMP3+_cDC","LAMP3+_cDC",-0.1191668,0,635720,"Myeloid"
"SPRY1+_EC","SPRY1+_EC",-0.1275289,0,635720,"Endothelial"
"CLEC9A+_cDC","CLEC9A+_cDC",-0.1354657,0,635720,"Myeloid"
"CD8_ISG15+_T","ISG15+_T",-0.1414855,0,635720,"T cell"
"HSP+_tCAF","HSP+_tCAF",-0.1450178,0,635720,"Fibroblast"
"Venous_EC","Venous_EC",-0.1463917,0,635720,"Endothelial"
"SMC","SMC",-0.1489587,0,635720,"Mural"
"LILRA4+_pDC","LILRA4+_pDC",-0.1512619,0,635720,"Myeloid"
"Venous_iEC","Venous_iEC",-0.1544087,0,635720,"Endothelial"
"Bn","Naive_B",-0.1616952,0,635720,"B cell"
"CD8_Tcm/Tn","Tcm/Naive_cytotoxic_T",-0.1636726,0,635720,"T cell"
"CXCL3+_Macro","CXCL3+_Macro",-0.1689568,0,635720,"Myeloid"
"Capillary_EC","Capillary_EC",-0.1764202,0,635720,"Endothelial"
"ABC","Age-associated_B",-0.1782892,0,635720,"B cell"
"CD4_Treg","regT",-0.178901,0,635720,"T cell"
"Bmem","Memory_B",-0.1847934,0,635720,"B cell"
"vCAF","vCAF",-0.1849469,0,635720,"Fibroblast"
"PI16+_iCAF","PI16+_iCAF",-0.1852991,0,635720,"Fibroblast"
"CD4_CXCL13+_T","FOXP3-_regT",-0.1917789,0,635720,"T cell"
"CD16+_Mono","CD16+_Mono",-0.1941006,0,635720,"Myeloid"
"γδ_T","gamma-delta_T",-0.1945148,0,635720,"T cell"
"ILC3","ILC3",-0.1953873,0,635720,"T cell"
"Macro","Macro",-0.1991927,0,635720,"Myeloid"
"CD4_Tcm/Tn","Tcm/Naive_helper_T",-0.2019552,0,635720,"T cell"
"apCAF","apCAF",-0.2053299,0,635720,"Fibroblast"
"Bgc","Germinal_center_B",-0.2130576,0,635720,"B cell"
"CD16+_NK","CD16+_NK",-0.2172587,0,635720,"T cell"
"CD8_Tex","exT",-0.2214279,0,635720,"T cell"
"CD4_Th1","Type_1_helper_T",-0.2222287,0,635720,"T cell"
"NK","NK",-0.2228021,0,635720,"T cell"
"CD8_Tem/Temra","Tem/Temra_cytotoxic_T",-0.2271071,0,635720,"T cell"
"CD4_Tem/Effector","Tem/Effector_helper_T",-0.2299612,0,635720,"T cell"
"MAIT","MAIT",-0.2317175,0,635720,"T cell"
"CD16-_NK","CD16-_NK",-0.2389557,0,635720,"T cell"
"CD8_Tem/Trm","Tem/Trm_cytotoxic_T",-0.2437779,0,635720,"T cell"
"CD4_Tfh","Follicular_helper_T",-0.2463502,0,635720,"T cell"
"CD4_Unassigned_T","Regulatory_T",-0.2473324,0,635720,"T cell"
"CD4_Th17","Type_17_helper_T",-0.2480798,0,635720,"T cell"
"NR4A2+_Bn","B",-0.2524126,0,635720,"B cell"
"CD8_Trm","Trm_cytotoxic_T",-0.2565048,0,635720,"T cell"
