"Feat_pair","cancer_type","Region","median_J_comp","mean_J_comp","n"
"B cell-Endothelial","BRCA","Boundary",0.3315508,0.38606519,75
"B cell-Endothelial","BRCA","Malignant",0.39402174,0.38855163,75
"B cell-Endothelial","BRCA","Normal",0.25222222,0.28355418,75
"B cell-Endothelial","COCA","Boundary",0.41666667,0.42605951,27
"B cell-Endothelial","COCA","Malignant",0.51935484,0.48144526,27
"B cell-Endothelial","COCA","Normal",0.3490566,0.34531948,27
"B cell-Endothelial","HNCA","Boundary",0.24292013,0.3694383,26
"B cell-Endothelial","HNCA","Malignant",0.09448819,0.26890047,26
"B cell-Endothelial","HNCA","Normal",0.19328886,0.18492254,26
"B cell-Endothelial","KICA","Boundary",0.35693215,0.34434792,23
"B cell-Endothelial","KICA","Malignant",0.17584746,0.23289296,23
"B cell-Endothelial","KICA","Normal",0.08481262,0.1009289,23
"B cell-Endothelial","LICA","Boundary",0.99618321,0.92269326,12
"B cell-Endothelial","LICA","Malignant",0.76881015,0.70277804,12
"B cell-Endothelial","LICA","Normal",0.73934053,0.71317723,12
"B cell-Endothelial","LUCA","Boundary",0.37706265,0.33665038,22
"B cell-Endothelial","LUCA","Malignant",0.37903426,0.42124298,22
"B cell-Endothelial","LUCA","Normal",0.12174689,0.18908379,22
"B cell-Endothelial","OVCA","Boundary",0.28455672,0.26087086,24
"B cell-Endothelial","OVCA","Malignant",0.3652982,0.39668761,24
"B cell-Endothelial","OVCA","Normal",0.12390295,0.16664879,24
"B cell-Endothelial","PDAC","Boundary",0.26858108,0.29181511,14
"B cell-Endothelial","PDAC","Malignant",0.26017069,0.3836824,14
"B cell-Endothelial","PDAC","Normal",0.21330155,0.18487402,14
"B cell-Endothelial","PRCA","Boundary",0.63644834,0.58930721,8
"B cell-Endothelial","PRCA","Malignant",0.4611546,0.49348111,8
"B cell-Endothelial","PRCA","Normal",0.35224026,0.36190041,8
"B cell-Endothelial","SKCA","Boundary",0.41032009,0.37664009,16
"B cell-Endothelial","SKCA","Malignant",0.77102246,0.54797934,16
"B cell-Endothelial","SKCA","Normal",0.28748607,0.3083369,16
"B cell-Endothelial","STCA","Boundary",0.33870968,0.39240147,11
"B cell-Endothelial","STCA","Malignant",0.45633803,0.37598414,11
"B cell-Endothelial","STCA","Normal",0.23317308,0.19664935,11
"B cell-Endothelial","THCA","Boundary",0.61979167,0.63379809,5
"B cell-Endothelial","THCA","Malignant",0.65098039,0.58077541,5
"B cell-Endothelial","THCA","Normal",0.51020408,0.46427413,5
"B cell-Endothelial","UCEC","Boundary",0.50649351,0.5537876,5
"B cell-Endothelial","UCEC","Malignant",0.065,0.18510928,5
"B cell-Endothelial","UCEC","Normal",0.24541284,0.23821451,5
"B cell-Fibroblast","BRCA","Boundary",0.38983051,0.41913822,75
"B cell-Fibroblast","BRCA","Malignant",0.29292929,0.3489179,75
"B cell-Fibroblast","BRCA","Normal",0.1867556,0.24568246,75
"B cell-Fibroblast","COCA","Boundary",0.38961039,0.38218587,27
"B cell-Fibroblast","COCA","Malignant",0.39873418,0.45482765,27
"B cell-Fibroblast","COCA","Normal",0.12783505,0.14725033,27
"B cell-Fibroblast","HNCA","Boundary",0.28236842,0.36552358,26
"B cell-Fibroblast","HNCA","Malignant",0,0.21357662,26
"B cell-Fibroblast","HNCA","Normal",0.18283262,0.18188796,26
"B cell-Fibroblast","KICA","Boundary",0.40909091,0.45352386,23
"B cell-Fibroblast","KICA","Malignant",0.29591837,0.34387725,23
"B cell-Fibroblast","KICA","Normal",0.10608424,0.12011429,23
"B cell-Fibroblast","LICA","Boundary",1,0.96387929,12
"B cell-Fibroblast","LICA","Malignant",0.7680677,0.7367698,12
"B cell-Fibroblast","LICA","Normal",0.71657901,0.69433073,12
"B cell-Fibroblast","LUCA","Boundary",0.36103448,0.40321391,22
"B cell-Fibroblast","LUCA","Malignant",0.24466891,0.27707781,22
"B cell-Fibroblast","LUCA","Normal",0.17312198,0.18406494,22
"B cell-Fibroblast","OVCA","Boundary",0.23327759,0.24765338,24
