"category","sample_id","Region","value"
"Epi-Epi","01_034_C1d1","Malignant",0
"Epi-Epi","01_034_C1d1","Boundary",0.523809523809523
"Epi-Epi","01_034_C1d1","Normal",0.404606998417443
"Epi-Epi","01_034_C3d1","Malignant",0.395647793310663
"Epi-Epi","01_034_C3d1","Boundary",0.36231884057971
"Epi-Epi","01_034_C3d1","Normal",0.207792207792207
"Epi-Epi","01_039_C1d1","Malignant",0
"Epi-Epi","01_039_C1d1","Boundary",0.104651162790697
"Epi-Epi","01_039_C1d1","Normal",0.402111105479243
"Epi-Epi","01_039_C3d1","Malignant",0.469877344877344
"Epi-Epi","01_039_C3d1","Boundary",0.25284751990202
"Epi-Epi","01_039_C3d1","Normal",0.17955554324416
"Epi-Epi","1142243F","Malignant",0.471502590673575
"Epi-Epi","1142243F","Boundary",0.461063140852671
"Epi-Epi","1142243F","Normal",0.266861924868893
"Epi-Epi","1160920F","Malignant",0.313886458473549
"Epi-Epi","1160920F","Boundary",0.64041890683747
"Epi-Epi","1160920F","Normal",0.420655272390605
"Epi-Epi","A_955_OvarianTumor","Malignant",0.427272727272727
"Epi-Epi","A_955_OvarianTumor","Boundary",0.553906879162735
"Epi-Epi","A_955_OvarianTumor","Normal",0.385967371483098
"Epi-Epi","A_GTFB1154_OvarianCancerTumor","Malignant",0
"Epi-Epi","A_GTFB1154_OvarianCancerTumor","Boundary",0.351666666666666
"Epi-Epi","A_GTFB1154_OvarianCancerTumor","Normal",0.421347725843638
"Epi-Epi","Ajou_Visium_P1","Malignant",0.489150121908742
"Epi-Epi","Ajou_Visium_P1","Boundary",0.482479784366576
"Epi-Epi","Ajou_Visium_P1","Normal",0.210658674013203
"Epi-Epi","Ajou_Visium_P2","Malignant",0.227468700405572
"Epi-Epi","Ajou_Visium_P2","Boundary",0.499968789013732
"Epi-Epi","Ajou_Visium_P2","Normal",0.442038289035757
"Epi-Epi","Ajou_Visium_P4","Malignant",0.641987693953986
"Epi-Epi","Ajou_Visium_P4","Boundary",0.474106945366069
"Epi-Epi","Ajou_Visium_P4","Normal",0.342381337229181
"Epi-Epi","B_GTFB1191_OvarianCancerTumor","Malignant",0.570867237687366
"Epi-Epi","B_GTFB1191_OvarianCancerTumor","Boundary",0.615384615384615
"Epi-Epi","B_GTFB1191_OvarianCancerTumor","Normal",0.533800780114613
"Epi-Epi","CID4290","Malignant",0.453947368421052
"Epi-Epi","CID4290","Boundary",0.442249041477866
"Epi-Epi","CID4290","Normal",0.23809082784954
"Epi-Epi","CID4465","Malignant",0.303030303030303
"Epi-Epi","CID4465","Boundary",0.473119224147018
"Epi-Epi","CID4465","Normal",0.527683706928989
"Epi-Epi","CID44971","Malignant",0
"Epi-Epi","CID44971","Boundary",0.510948905109489
"Epi-Epi","CID44971","Normal",0.340264451551765
"Epi-Epi","CID4535","Malignant",0.713003220611916
"Epi-Epi","CID4535","Boundary",0.533596837944664
"Epi-Epi","CID4535","Normal",0.332968636032093
"Epi-Epi","C_GTFB1170_SmallCellOvarianCancer","Malignant",0.796116504854368
"Epi-Epi","C_GTFB1170_SmallCellOvarianCancer","Boundary",0.521739130434782
"Epi-Epi","C_GTFB1170_SmallCellOvarianCancer","Normal",0.430508539159725
"Epi-Epi","Colon_10x_Visium_SampleP2_CRC","Malignant",0.263910139647844
"Epi-Epi","Colon_10x_Visium_SampleP2_CRC","Boundary",0.401707646973576
"Epi-Epi","Colon_10x_Visium_SampleP2_CRC","Normal",0.204176404713214
"Epi-Epi","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Malignant",0.36163901779019
"Epi-Epi","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Boundary",0.548973166715102
"Epi-Epi","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Normal",0.386530977734753
"Epi-Epi","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Malignant",0.285902225109631
"Epi-Epi","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Boundary",0.669902912621359
"Epi-Epi","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Normal",0.295633399356803
"Epi-Epi","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Malignant",0.33848174711218
"Epi-Epi","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Boundary",0.540175438596491
