"node_a","node_b","pan_cancer_median_jaccard","n_cancers_significant","n_cancers_tested","cross_cancer_replication_p","cross_cancer_replication_p_adj_BH"
"ABC","NR4A2+_Bn",0.641437964974165,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","CD16+_NK",0.705228222665526,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","CD16-_NK",0.687992088727382,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"ABC","CLEC9A+_cDC",0.54371928884124,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"ABC","CD4_CXCL13+_T",0.850874125874125,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","CD4_Tfh",0.604172876304023,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","Bgc",0.756114700215346,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","ILC3",0.632056814095649,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"ABC","CD8_ISG15+_T",0.672272999700329,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","LAMP3+_cDC",0.61731862989262,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"ABC","LILRA4+_pDC",0.623366111044489,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","MAIT",0.753695378127823,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","Macro",0.598837209302325,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"ABC","Bmem",0.739059191287687,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","NK",0.710038188761593,"5","13","1.2037294519127301E-7","4.3863327046700898E-7"
"ABC","Bn",0.677679343128781,"8","13","1.2308202828208E-13","6.5818114623842294E-11"
"ABC","CD4_Unassigned_T",0.696584086114566,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"ABC","CD8_Tcm/Tn",0.67704280155642,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","CD4_Tcm/Tn",0.734724786037925,"8","13","1.2308202828208E-13","6.5818114623842294E-11"
"ABC","CD4_Tem/Effector",0.729099300476717,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"ABC","CD8_Tem/Temra",0.766666666666666,"8","13","1.2308202828208E-13","6.5818114623842294E-11"
"ABC","CD8_Tem/Trm",0.788108791903858,"8","13","1.2308202828208E-13","6.5818114623842294E-11"
"ABC","CD8_Trm",0.633910767696909,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"ABC","CD4_Th17",0.674193409247757,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","CD4_Th1",0.669099756690997,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","CD8_Tex",0.669836383570886,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","gd_T",0.625736105999263,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"ABC","CD4_Treg",0.723188405797101,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"Arterial_EC","Fibrosis_PGF+_Tip_EC",0.511160714285714,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"Arterial_EC","Mast",0.520361990950226,"5","13","1.2037294519127301E-7","4.3863327046700898E-7"
"Arterial_EC","SMC",0.582089552238806,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"Arterial_EC","SPRY1+_EC",0.509641873278237,"5","13","1.2037294519127301E-7","4.3863327046700898E-7"
"Arterial_EC","Venous_EC",0.655250608597058,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"Arterial_EC","Venous_iEC",0.724141863382369,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"Arterial_EC","myoCAF",0.515384615384615,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"Arterial_EC","vCAF",0.600055947771346,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"NR4A2+_Bn","CD16+_NK",0.588957055214724,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD16-_NK",0.642656564359402,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD4_CXCL13+_T",0.659872558294841,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD4_Tfh",0.704447333562282,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","Bgc",0.633724485339079,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","ILC3",0.705054715997915,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD8_ISG15+_T",0.569118449781659,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","LILRA4+_pDC",0.622317596566523,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","MAIT",0.653616116116116,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","Bmem",0.865384615384615,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"NR4A2+_Bn","NK",0.636574074074074,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","Bn",0.842221853480461,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"NR4A2+_Bn","CD4_Unassigned_T",0.712336168548338,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD8_Tcm/Tn",0.674641907709399,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"NR4A2+_Bn","CD4_Tcm/Tn",0.718979697142014,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"NR4A2+_Bn","CD4_Tem/Effector",0.724137931034482,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD8_Tem/Temra",0.694145792288207,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD8_Tem/Trm",0.686001229760196,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"NR4A2+_Bn","CD8_Trm",0.648645463001898,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD4_Th17",0.58273381294964,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD4_Th1",0.623848545820376,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD8_Tex",0.554958795112247,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"NR4A2+_Bn","CD4_Treg",0.573830508474576,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"CD14+_Mono","CD16+_Mono",0.645725532158826,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"CD14+_Mono","CD16+_NK",0.536805555555555,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"CD14+_Mono","CXCL3+_Macro",0.752495433583075,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"CD14+_Mono","IL6+_iCAF",0.605860321656752,"5","13","1.2037294519127301E-7","4.3863327046700898E-7"
"CD14+_Mono","CD8_ISG15+_T",0.534825870646766,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"CD14+_Mono","MAIT",0.591088841953893,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"CD14+_Mono","Macro",0.532862487100103,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"CD14+_Mono","SPP1+_CXCL3+_Macro",0.508978717114986,"5","13","1.2037294519127301E-7","4.3863327046700898E-7"
"CD14+_Mono","SPP1+_MT1+_Macro",0.544117647058823,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"CD14+_Mono","CD8_Trm",0.536589805825242,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"CD14+_Mono","CD4_Th17",0.556756756756756,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"CD14+_Mono","CD4_Th1",0.534368070953436,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"CD14+_Mono","CD8_Tex",0.505916445303066,"7","13","1.6278881392003201E-11","3.0951579819995499E-10"
"CD14+_Mono","CD4_Treg",0.577956989247311,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"CD14+_Mono","vCAF",0.515723742768135,"6","13","1.61570301840039E-9","1.0378344613689E-8"
"CD14+_EC","CD16+_Mono",0.544973544973545,"5","13","1.2037294519127301E-7","4.3863327046700898E-7"
