node,lineage,degree
ABC,B cell,27
NR4A2+_Bn,B cell,20
CD16+_NK,T cell,26
CD16-_NK,T cell,26
CLEC9A+_cDC,Myeloid,10
CD4_CXCL13+_T,T cell,26
CD4_Tfh,T cell,21
Bgc,B cell,22
ILC3,T cell,16
CD8_ISG15+_T,T cell,18
LAMP3+_cDC,Myeloid,22
LILRA4+_pDC,Myeloid,23
MAIT,T cell,28
Bmem,B cell,20
NK,T cell,25
Bn,B cell,20
CD4_Unassigned_T,T cell,28
CD8_Tcm/Tn,T cell,16
CD4_Tcm/Tn,T cell,24
CD4_Tem/Effector,T cell,27
CD8_Tem/Temra,T cell,27
CD8_Tem/Trm,T cell,27
CD8_Trm,T cell,26
CD4_Th17,T cell,25
CD4_Th1,T cell,27
CD8_Tex,T cell,20
gd_T,Myeloid,20
CD4_Treg,T cell,20
Arterial_EC,Endothelial,5
Fibrosis_PGF+_Tip_EC,Endothelial,3
SMC,Mural,4
SPRY1+_EC,Endothelial,6
Venous_EC,Endothelial,10
Venous_iEC,Endothelial,2
CD14+_Mono,Myeloid,2
CD16+_Mono,Myeloid,12
CXCL3+_Macro,Myeloid,6
CD14+_EC,Endothelial,5
Lymphatic_EC,Endothelial,2
pnCAF,Fibroblast,3
vCAF,Fibroblast,8
CD1C+_cDC,Myeloid,1
Macro,Myeloid,6
Capillary_EC,Endothelial,5
TMEM100+_EC,Endothelial,2
Tip_EC,Endothelial,4
Epi_Hormonal,Epithelial,2
Epi_ER-Stress,Epithelial,2
Epi_cEMT,Epithelial,4
Epi_TNF,Epithelial,1
Epi_Interferon,Epithelial,2
Epi_Squamous,Epithelial,1
Epi_Hypox-Stress,Epithelial,1
Epi_Oxphos-Ion,Epithelial,1
FOLR2+_Macro,Myeloid,1
Pericyte,Mural,3
HMGB2+_cycEC,Endothelial,1
PGF+_Tip_EC,Endothelial,3
HSP+_tCAF,Fibroblast,2
apCAF,Fibroblast,1
HSPA6+_Macro,Myeloid,1
SPP1+_CXCL3+_Macro,Myeloid,5
IL6+_iCAF,Fibroblast,4
Mast,Myeloid,1
iCAF,Fibroblast,5
ISG15+_mCAF,Fibroblast,2
TNFSF10+_Macro,Myeloid,4
CD8_Cycling_Tex,T cell,4
CD4_Cycling_Treg,T cell,4
SPP1+_MT1+_Macro,Myeloid,5
SPP1+_cycMacro,Myeloid,2
myoCAF,Fibroblast,4
PI16+_iCAF,Fibroblast,2
SPP1+_Macro,Myeloid,3
