panel,group,comparison,test,n_slides,pvalue
fig3c_per_sample_J,all_slides,Mal-Bdy,wilcoxon_signed_rank,211,0.0019819217591998386
fig3c_per_sample_J,all_slides,Bdy-Normal,wilcoxon_signed_rank,211,1.5061897174927935e-17
fig3c_per_sample_J,all_slides,Mal-Normal,wilcoxon_signed_rank,211,1.98028456354915e-09
fig3g_Cycling_Bgc_partners,Epi_Cycle,Mal-Bdy,wilcoxon_signed_rank,211,0.042499717006159704
fig3g_Cycling_Bgc_partners,Epi_Cycle,Bdy-Normal,wilcoxon_signed_rank,218,1.3799270517001714e-15
fig3g_Cycling_Bgc_partners,Epi_Cycle,Mal-Normal,wilcoxon_signed_rank,212,6.993441588883282e-10
fig3g_Cycling_Bgc_partners,CD8_Cycling_Tex,Mal-Bdy,wilcoxon_signed_rank,211,0.019965868534142707
fig3g_Cycling_Bgc_partners,CD8_Cycling_Tex,Bdy-Normal,wilcoxon_signed_rank,218,1.2511357718395362e-11
fig3g_Cycling_Bgc_partners,CD8_Cycling_Tex,Mal-Normal,wilcoxon_signed_rank,212,6.700020342801008e-05
fig3g_Cycling_Bgc_partners,CD4_Cycling_Treg,Mal-Bdy,wilcoxon_signed_rank,211,0.0003689243326643611
fig3g_Cycling_Bgc_partners,CD4_Cycling_Treg,Bdy-Normal,wilcoxon_signed_rank,218,2.046063466625485e-11
fig3g_Cycling_Bgc_partners,CD4_Cycling_Treg,Mal-Normal,wilcoxon_signed_rank,212,0.004138906798110379
fig3g_Cycling_Bgc_partners,Plasmablast,Mal-Bdy,wilcoxon_signed_rank,211,0.5312377434658029
fig3g_Cycling_Bgc_partners,Plasmablast,Bdy-Normal,wilcoxon_signed_rank,218,1.1076730052021435e-09
fig3g_Cycling_Bgc_partners,Plasmablast,Mal-Normal,wilcoxon_signed_rank,212,1.1750994471141648e-07
fig3g_Cycling_Bgc_partners,SPP1+_cycMacro,Mal-Bdy,wilcoxon_signed_rank,211,0.004919098190813778
fig3g_Cycling_Bgc_partners,SPP1+_cycMacro,Bdy-Normal,wilcoxon_signed_rank,218,9.611386373592978e-15
fig3g_Cycling_Bgc_partners,SPP1+_cycMacro,Mal-Normal,wilcoxon_signed_rank,212,2.1032601280485544e-07
fig3g_Cycling_Bgc_partners,ABC,Mal-Bdy,wilcoxon_signed_rank,211,0.00085986216979927
fig3g_Cycling_Bgc_partners,ABC,Bdy-Normal,wilcoxon_signed_rank,218,6.637186853594246e-06
fig3g_Cycling_Bgc_partners,ABC,Mal-Normal,wilcoxon_signed_rank,212,0.2741448045303376
fig3g_Cycling_Bgc_partners,CD4_Tcm/Tn,Mal-Bdy,wilcoxon_signed_rank,211,0.0015125923704055481
fig3g_Cycling_Bgc_partners,CD4_Tcm/Tn,Bdy-Normal,wilcoxon_signed_rank,218,1.2021147794265693e-08
fig3g_Cycling_Bgc_partners,CD4_Tcm/Tn,Mal-Normal,wilcoxon_signed_rank,212,0.08405391259579552
fig3g_Cycling_Bgc_partners,CLEC9A+_cDC,Mal-Bdy,wilcoxon_signed_rank,211,0.0005580673596542148
fig3g_Cycling_Bgc_partners,CLEC9A+_cDC,Bdy-Normal,wilcoxon_signed_rank,218,5.259998610003752e-11
fig3g_Cycling_Bgc_partners,CLEC9A+_cDC,Mal-Normal,wilcoxon_signed_rank,212,0.0020951053783493747
fig3g_Cycling_Bgc_partners,CD8_Tcm/Tn,Mal-Bdy,wilcoxon_signed_rank,211,0.0016112924888327382
fig3g_Cycling_Bgc_partners,CD8_Tcm/Tn,Bdy-Normal,wilcoxon_signed_rank,218,5.418555362733476e-08
fig3g_Cycling_Bgc_partners,CD8_Tcm/Tn,Mal-Normal,wilcoxon_signed_rank,212,0.046338465096928
fig3g_Cycling_Bgc_partners,Bn,Mal-Bdy,wilcoxon_signed_rank,211,0.0020619016213773993
fig3g_Cycling_Bgc_partners,Bn,Bdy-Normal,wilcoxon_signed_rank,218,5.386534284762889e-07
fig3g_Cycling_Bgc_partners,Bn,Mal-Normal,wilcoxon_signed_rank,212,0.1447123823040175
fig3h_HSPA6+_Macro_partners,SPP1+_CXCL3+_Macro,Mal-Bdy,wilcoxon_signed_rank,211,0.02012761821724267
fig3h_HSPA6+_Macro_partners,SPP1+_CXCL3+_Macro,Bdy-Normal,wilcoxon_signed_rank,218,3.357015463427446e-07
fig3h_HSPA6+_Macro_partners,SPP1+_CXCL3+_Macro,Mal-Normal,wilcoxon_signed_rank,212,0.00648699201014698
fig3h_HSPA6+_Macro_partners,SPP1+_MT1+_Macro,Mal-Bdy,wilcoxon_signed_rank,211,0.1323035901585854
fig3h_HSPA6+_Macro_partners,SPP1+_MT1+_Macro,Bdy-Normal,wilcoxon_signed_rank,218,0.0007711218169787312
fig3h_HSPA6+_Macro_partners,SPP1+_MT1+_Macro,Mal-Normal,wilcoxon_signed_rank,212,0.07590859416053261
fig3h_HSPA6+_Macro_partners,tCAF,Mal-Bdy,wilcoxon_signed_rank,211,0.002196310773647467
fig3h_HSPA6+_Macro_partners,tCAF,Bdy-Normal,wilcoxon_signed_rank,218,1.9424790049015398e-05
fig3h_HSPA6+_Macro_partners,tCAF,Mal-Normal,wilcoxon_signed_rank,212,0.5795075885002774
fig3h_HSPA6+_Macro_partners,Macro,Mal-Bdy,wilcoxon_signed_rank,211,0.8153998083993363
fig3h_HSPA6+_Macro_partners,Macro,Bdy-Normal,wilcoxon_signed_rank,218,0.0003325232759532905
fig3h_HSPA6+_Macro_partners,Macro,Mal-Normal,wilcoxon_signed_rank,212,0.0002575737042562137
fig3h_HSPA6+_Macro_partners,SPP1+_cycMacro,Mal-Bdy,wilcoxon_signed_rank,211,0.037903166606143845
fig3h_HSPA6+_Macro_partners,SPP1+_cycMacro,Bdy-Normal,wilcoxon_signed_rank,218,0.0007028618370202366
fig3h_HSPA6+_Macro_partners,SPP1+_cycMacro,Mal-Normal,wilcoxon_signed_rank,212,0.24984838680045707
fig3h_HSPA6+_Macro_partners,SPP1+_Macro,Mal-Bdy,wilcoxon_signed_rank,211,0.07961641069171875
fig3h_HSPA6+_Macro_partners,SPP1+_Macro,Bdy-Normal,wilcoxon_signed_rank,218,0.0002151283296493553
fig3h_HSPA6+_Macro_partners,SPP1+_Macro,Mal-Normal,wilcoxon_signed_rank,212,0.014895712092520748
fig3h_HSPA6+_Macro_partners,CD14+_Mono,Mal-Bdy,wilcoxon_signed_rank,211,0.9751025538961228
fig3h_HSPA6+_Macro_partners,CD14+_Mono,Bdy-Normal,wilcoxon_signed_rank,218,1.0240930043845562e-06
fig3h_HSPA6+_Macro_partners,CD14+_Mono,Mal-Normal,wilcoxon_signed_rank,212,4.897123683210383e-08
fig3h_HSPA6+_Macro_partners,CD8_Tex,Mal-Bdy,wilcoxon_signed_rank,211,0.106852137825579
fig3h_HSPA6+_Macro_partners,CD8_Tex,Bdy-Normal,wilcoxon_signed_rank,218,2.707334070157303e-09
fig3h_HSPA6+_Macro_partners,CD8_Tex,Mal-Normal,wilcoxon_signed_rank,212,6.331793823443943e-05
fig3h_HSPA6+_Macro_partners,TNFSF10+_Macro,Mal-Bdy,wilcoxon_signed_rank,211,0.061738092065126295
fig3h_HSPA6+_Macro_partners,TNFSF10+_Macro,Bdy-Normal,wilcoxon_signed_rank,218,0.0017180325580546094
fig3h_HSPA6+_Macro_partners,TNFSF10+_Macro,Mal-Normal,wilcoxon_signed_rank,212,0.16794151919783018
fig3h_HSPA6+_Macro_partners,Epi_Interferon,Mal-Bdy,wilcoxon_signed_rank,211,0.12854519467237052
fig3h_HSPA6+_Macro_partners,Epi_Interferon,Bdy-Normal,wilcoxon_signed_rank,218,1.9570490220613458e-10
fig3h_HSPA6+_Macro_partners,Epi_Interferon,Mal-Normal,wilcoxon_signed_rank,212,5.2990020039769336e-05
