"celltype_1","celltype_2","correlation"
"Epithelial","Epithelial",1
"Tcell","Epithelial",0.0635608444037088
"Bcell","Epithelial",0.0585281636104098
"Myeloid","Epithelial",0.0545417008839504
"Endothelial","Epithelial",0.144887878543876
"Fibroblast","Epithelial",0.0186112106975093
"Mural","Epithelial",0.0304021879148627
"Epithelial","Tcell",0.0635608444037088
"Tcell","Tcell",1
"Bcell","Tcell",0.808066944038469
"Myeloid","Tcell",0.820258066411101
"Endothelial","Tcell",0.626351430287274
"Fibroblast","Tcell",0.467984926097615
"Mural","Tcell",0.404958316507168
"Epithelial","Bcell",0.0585281636104098
"Tcell","Bcell",0.808066944038469
"Bcell","Bcell",1
"Myeloid","Bcell",0.626177733095455
"Endothelial","Bcell",0.419393454463703
"Fibroblast","Bcell",0.349697424043712
"Mural","Bcell",0.290911463134405
"Epithelial","Myeloid",0.0545417008839504
"Tcell","Myeloid",0.820258066411101
"Bcell","Myeloid",0.626177733095455
"Myeloid","Myeloid",1
"Endothelial","Myeloid",0.709902952912242
"Fibroblast","Myeloid",0.57864940138746
"Mural","Myeloid",0.476790401532061
"Epithelial","Endothelial",0.144887878543876
"Tcell","Endothelial",0.626351430287274
"Bcell","Endothelial",0.419393454463703
"Myeloid","Endothelial",0.709902952912242
"Endothelial","Endothelial",1
"Fibroblast","Endothelial",0.587101481993046
"Mural","Endothelial",0.543153990586294
"Epithelial","Fibroblast",0.0186112106975093
"Tcell","Fibroblast",0.467984926097615
"Bcell","Fibroblast",0.349697424043712
"Myeloid","Fibroblast",0.57864940138746
"Endothelial","Fibroblast",0.587101481993046
"Fibroblast","Fibroblast",1
"Mural","Fibroblast",0.843034225193906
"Epithelial","Mural",0.0304021879148627
"Tcell","Mural",0.404958316507168
"Bcell","Mural",0.290911463134405
"Myeloid","Mural",0.476790401532061
"Endothelial","Mural",0.543153990586294
"Fibroblast","Mural",0.843034225193906
"Mural","Mural",1
