node,betweenness,lineage
Cycling_Bgc,0.151111811282791,B cell
HSPA6+_Macro,0.148506371418526,Myeloid
Macro,0.0929560687726059,Myeloid
Epi_MHCII,0.0884972639073125,Epithelial
Epi_Hypox-Stress,0.074574211123969,Epithelial
CXCL3+_Macro,0.0407723807247325,Myeloid
Epi_Interferon,0.0351548889905014,Epithelial
CD8_Tem/Trm,0.0249812481225392,T cell
CD8_Tex,0.0245991514208889,T cell
Epi_Luminal,0.0244233086675045,Epithelial
SPP1+_cycMacro,0.0244216785593956,Myeloid
CD4_Tcm/Tn,0.0233979392866679,T cell
Venous_iEC,0.0231813327269128,Endothelial
CD16+_Mono,0.0211947021090505,Myeloid
vCAF,0.01937782036746,Fibroblast
CD14+_Mono,0.0191294773995656,Myeloid
CD4_Cycling_Treg,0.0185543527044798,T cell
Venous_EC,0.0181963919520851,Endothelial
cyc_mCAF,0.0175388901127959,Fibroblast
NR4A2+_Bn,0.0173706062632491,B cell
Bn,0.01709730903596,B cell
Mast,0.0141848012127857,Myeloid
CD1C+_cDC,0.0138167872250545,Myeloid
CXCL14+_mCAF,0.013604608604358,Fibroblast
CD16+_NK,0.0134397414988098,T cell
ABC,0.0133241177072026,B cell
SPRY1+_EC,0.0132654229345742,Endothelial
CD8_Cycling_Tex,0.012997078008064,T cell
ISG15+_mCAF,0.0129710273623259,Fibroblast
apCAF,0.0126118284080074,Fibroblast
tCAF,0.0117799421946481,Fibroblast
CD8_Tcm/Tn,0.0103839005736694,T cell
NK,0.0101496338999725,T cell
Lymphatic_EC,0.0096489247810396,Endothelial
FOLR2+_Macro,0.0092745656607191,Myeloid
CD8_Trm,0.009112860631824,T cell
CD16-_NK,0.0091100214191032,T cell
CD4_Unassigned_T,0.0090479088912373,T cell
SPP1+_MT1+_Macro,0.008855670408077,Myeloid
IL6+_iCAF,0.0081788242991574,Fibroblast
LILRA4+_pDC,0.007940840467754,Myeloid
myoCAF,0.0077610715761451,Fibroblast
MAIT,0.0068751692112082,T cell
Capillary_EC,0.0068387683456617,Endothelial
CD4_Tfh,0.0064521581660633,T cell
CD14+_EC,0.0064401556284135,Endothelial
HMGB2+_cycEC,0.0057969571832381,Endothelial
CD4_Th1,0.0054870036430214,T cell
HSP+_tCAF,0.0053055830533139,Fibroblast
Pericyte,0.0050570679571231,Mural
CD4_Tem/Effector,0.0050038234146045,T cell
iCAF,0.004714071928575,Fibroblast
CD4_Th17,0.0046098773793893,T cell
gd_T,0.0045366081168676,T cell
Epi_TNF,0.0040082001973221,Epithelial
TNFSF10+_Macro,0.0033538321012756,Myeloid
Epi_cEMT,0.0033488791634819,Epithelial
Epi_Hypox-Adapt,0.0031351085182435,Epithelial
SPP1+_CXCL3+_Macro,0.0029044694341798,Myeloid
Bgc,0.0028025432072462,B cell
TMEM100+_EC,0.0027148607472461,Endothelial
PGF+_Tip_EC,0.0026803103797532,Endothelial
CD8_ISG15+_T,0.0025551718860984,T cell
CCL2+_iEC,0.0025311085313975,Endothelial
CLEC9A+_cDC,0.0023456655142516,Myeloid
Epi_ER-Stress,0.0022968376733266,Epithelial
pnCAF,0.0022423540050885,Fibroblast
mCAF,0.0021312892620455,Fibroblast
HMOX1+_iEC,0.0020347692621293,Endothelial
Tip_EC,0.0018611988765409,Endothelial
Arterial_EC,0.0018535177212329,Endothelial
PI16+_iCAF,0.001780554337593,Fibroblast
Bmem,0.0017006703240942,B cell
LAMP3+_cDC,0.0014637006525287,Myeloid
Epi_Ciliated,0.0012771429653499,Epithelial
Normal_Fibroblast,0.0012572192436485,Myeloid
CD8_Tem/Temra,0.001206481558073,T cell
SMC,0.0010922116563159,Mural
Epi_Glandular,0.001058201058201,Epithelial
ILC3,0.0010259085098176,T cell
CD4_CXCL13+_T,0.0009540942596437,T cell
Epi_Hormonal,0.0008241147171209,Epithelial
Epi_Oxphos-Ion,0.0008241147171209,Epithelial
Fibrosis_PGF+_Tip_EC,0.0008082067865081,Endothelial
Epi_Basal,0.0007742877207908,Epithelial
CD4_Treg,0.0007287424913418,T cell
Epi_Xenobiotic,0.0006105006105006,Epithelial
Epi_Squamous,0.0001526251526251,Epithelial
Plasma,0.0001520648427873,B cell
SPP1+_Macro,9.77013767592048e-05,Myeloid
Epi_Cycle,0.0,Epithelial
Plasmablast,0.0,B cell
