node_a,node_b,pan_cancer_median_jaccard,n_cancers_significant,n_cancers_tested,cross_cancer_replication_p,cross_cancer_replication_p_adj_BH
ABC,NR4A2+_Bn,0.740958605664488,7,13,1.62788813920032e-11,1.28726533447301e-10
ABC,CD14+_Mono,0.51063829787234,5,13,1.20372945191273e-07,2.98524904074358e-07
ABC,CD16+_Mono,0.547512017090973,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,CD16+_NK,0.728065326054407,8,13,1.2308202828208e-13,3.19118131509538e-12
ABC,CD16-_NK,0.669456066945606,8,13,1.2308202828208e-13,3.19118131509538e-12
ABC,CD1C+_cDC,0.590163934426229,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,CLEC9A+_cDC,0.67773011778351,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,FOLR2+_Macro,0.504876736889287,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,CD4_CXCL13+_T,0.877124669312169,9,13,6.8960885995e-16,1.40483176326957e-13
ABC,CD4_Tfh,0.674410480349344,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,Bgc,0.822558060933803,8,13,1.2308202828208e-13,3.19118131509538e-12
ABC,ILC3,0.718547750591949,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,CD8_ISG15+_T,0.83206106870229,7,13,1.62788813920032e-11,1.28726533447301e-10
ABC,LAMP3+_cDC,0.703225806451612,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,LILRA4+_pDC,0.864197530864197,7,13,1.62788813920032e-11,1.28726533447301e-10
ABC,MAIT,0.725,8,13,1.2308202828208e-13,3.19118131509538e-12
ABC,Macro,0.535897435897435,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,Bmem,0.928571428571428,8,13,1.2308202828208e-13,3.19118131509538e-12
ABC,NK,0.714285714285714,8,13,1.2308202828208e-13,3.19118131509538e-12
ABC,Bn,0.764705882352941,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,Plasma,0.556962404214559,8,13,1.2308202828208e-13,3.19118131509538e-12
ABC,Cycling_Bgc,0.533657939548744,6,13,1.61570301840039e-09,6.55163745281222e-09
ABC,CD4_Unassigned_T,0.828897338403041,8,13,1.2308202828208e-13,3.19118131509538e-12
