node_a,node_b,pan_cancer_median_jaccard,n_cancers_significant,n_cancers_tested,cross_cancer_replication_p,cross_cancer_replication_p_adj_BH
ABC,NR4A2+_Bn,0.575087310826542,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD16+_NK,0.579881410523215,10,13,2.7827128e-18,1.59150339016042e-17
ABC,CD16-_NK,0.58427200667501,9,13,6.8960885995e-16,2.89513906071256e-15
ABC,CLEC9A+_cDC,0.515243424893559,10,13,2.7827128e-18,1.59150339016042e-17
ABC,CD4_CXCL13+_T,0.78042328042328,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD4_Tfh,0.522066672909448,10,13,2.7827128e-18,1.59150339016042e-17
ABC,Bgc,0.744245524296675,11,13,7.65766e-21,7.87487247115384e-20
ABC,ILC3,0.501989270730273,9,13,6.8960885995e-16,2.89513906071256e-15
ABC,CD8_ISG15+_T,0.579317145322322,10,13,2.7827128e-18,1.59150339016042e-17
ABC,LAMP3+_cDC,0.577374861622236,11,13,7.65766e-21,7.87487247115384e-20
ABC,LILRA4+_pDC,0.599514340133388,11,13,7.65766e-21,7.87487247115384e-20
ABC,MAIT,0.65478841870824,11,13,7.65766e-21,7.87487247115384e-20
ABC,Bmem,0.62251655629139,11,13,7.65766e-21,7.87487247115384e-20
ABC,NK,0.614213197969543,11,13,7.65766e-21,7.87487247115384e-20
ABC,Bn,0.60212015840819,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD4_Unassigned_T,0.644607207674358,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD8_Tcm/Tn,0.599134615384615,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD4_Tcm/Tn,0.673890837154932,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD4_Tem/Effector,0.639130434782608,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD8_Tem/Temra,0.597014925373134,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD8_Tem/Trm,0.647153844892336,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD8_Trm,0.572679906365627,10,13,2.7827128e-18,1.59150339016042e-17
ABC,CD4_Th17,0.583790894532143,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD4_Th1,0.549869766148049,10,13,2.7827128e-18,1.59150339016042e-17
ABC,CD8_Tex,0.538116591928251,11,13,7.65766e-21,7.87487247115384e-20
ABC,gd_T,0.568007662835249,11,13,7.65766e-21,7.87487247115384e-20
ABC,CD4_Treg,0.585180448054431,11,13,7.65766e-21,7.87487247115384e-20
Arterial_EC,Fibrosis_PGF+_Tip_EC,0.56,11,13,7.65766e-21,7.87487247115384e-20
Arterial_EC,SMC,0.529128054671008,10,13,2.7827128e-18,1.59150339016042e-17
Arterial_EC,SPRY1+_EC,0.514746082243431,11,13,7.65766e-21,7.87487247115384e-20
Arterial_EC,Venous_EC,0.552772754671488,11,13,7.65766e-21,7.87487247115384e-20
Arterial_EC,Venous_iEC,0.572085353802312,10,13,2.7827128e-18,1.59150339016042e-17
NR4A2+_Bn,CD16+_NK,0.542263131858507,10,13,2.7827128e-18,1.59150339016042e-17
NR4A2+_Bn,CD16-_NK,0.531692745376956,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,CD4_CXCL13+_T,0.572784619841803,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,CD4_Tfh,0.54516129032258,10,13,2.7827128e-18,1.59150339016042e-17
NR4A2+_Bn,Bgc,0.580998994887034,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,ILC3,0.52,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,LILRA4+_pDC,0.556811244979919,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,MAIT,0.561628922031446,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,Bmem,0.719287949921752,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,NK,0.597239263803681,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,Bn,0.720457544219476,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,CD4_Unassigned_T,0.594302617891816,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,CD8_Tcm/Tn,0.585581929331929,11,13,7.65766e-21,7.87487247115384e-20
NR4A2+_Bn,CD4_Tcm/Tn,0.678061665637322,11,13,7.65766e-21,7.87487247115384e-20
