"cancer_type","celltype","sample_id","proportion"
"BRCA","Epithelial","1142243F",0.356478747112941
"BRCA","Epithelial","1160920F",0.163689092262731
"BRCA","Epithelial","CID4290",0.514134997094978
"BRCA","Epithelial","CID4465",0.0730865622568986
"BRCA","Epithelial","CID44971",0.21276187748235
"BRCA","Epithelial","CID4535",0.098728887977371
"BRCA","Epithelial","CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107",0.0431692105770345
"BRCA","Epithelial","GSM6177599_NYU_BRCA0_Vis",0.0384249491903931
"BRCA","Epithelial","GSM6177603_NYU_BRCA2_Vis",0.323678935257605
"BRCA","Epithelial","GSM6433585_092A",0.293563817158251
"BRCA","Epithelial","GSM6433586_092B",0.545374469157767
"BRCA","Epithelial","GSM6433587_093A",0.166122966136061
"BRCA","Epithelial","GSM6433588_093B",0.157358849576622
"BRCA","Epithelial","GSM6433589_093C",0.177773090366716
"BRCA","Epithelial","GSM6433590_093D",0.202193294326355
"BRCA","Epithelial","GSM6433591_094A",0.300213955710993
"BRCA","Epithelial","GSM6433592_094B",0.366790233573466
"BRCA","Epithelial","GSM6433593_094C",0.191001741774914
"BRCA","Epithelial","GSM6433594_094D",0.124824897845547
"BRCA","Epithelial","GSM6433595_095A",0.251384320866066
"BRCA","Epithelial","GSM6433596_095B",0.181941206452233
"BRCA","Epithelial","GSM6433597_117B",0.436232077342394
"BRCA","Epithelial","GSM6433598_117C",0.464877999889729
"BRCA","Epithelial","GSM6433599_117D",0.457711153297693
"BRCA","Epithelial","GSM6433600_117E",0.561484629399462
"BRCA","Epithelial","GSM6433601_118B",0.540625043440327
"BRCA","Epithelial","GSM6433602_118C",0.583543300297063
"BRCA","Epithelial","GSM6433603_118D",0.249065745153602
"BRCA","Epithelial","GSM6433604_118E",0.297970277840793
"BRCA","Epithelial","GSM6433605_119B",0.348861221630772
"BRCA","Epithelial","GSM6433606_119C",0.267952367161274
"BRCA","Epithelial","GSM6433607_119D",0.553741310804538
"BRCA","Epithelial","GSM6433608_119E",0.600760730919226
"BRCA","Epithelial","GSM6433609_120B",0.11687183991193
"BRCA","Epithelial","GSM6433610_120C",0.0626884607244639
"BRCA","Epithelial","GSM6433611_120D",0.0893041107316528
"BRCA","Epithelial","GSM6433612_120E",0.461369429296262
"BRCA","Epithelial","GSM6433613_395A",0.206166991696675
"BRCA","Epithelial","GSM6433614_395B",0.532945619807324
"BRCA","Epithelial","GSM6433615_395C",0.0677230401629977
"BRCA","Epithelial","GSM6433616_395D",0.100910777670024
"BRCA","Epithelial","GSM6433617_396A",0.357388052370706
"BRCA","Epithelial","GSM6433618_396C",0.405144697022044
"BRCA","Epithelial","GSM6433619_396D",0.552417081662902
"BRCA","Epithelial","GSM6433620_397A",0.53337890861317
"BRCA","Epithelial","GSM6433621_397B",0.114536766446866
"BRCA","Epithelial","GSM6433622_397C",0.155380389478834
"BRCA","Epithelial","GSM6433623_397D",0.0614896328652137
"BRCA","Epithelial","GSM6433624_398A",0.316081024497078
"BRCA","Epithelial","GSM6433625_398B",0.283322203144595
"BRCA","Epithelial","GSM6433626_398C",0.122297330789415
"BRCA","Epithelial","GSM6433627_398D",0.179607986851768
"BRCA","Epithelial","GSM7757970_R1-S1",0.0919545528309965
"BRCA","Epithelial","GSM7757972_R1-S3",0.325057054356228
"BRCA","Epithelial","GSM7757973_R1-S4",0.364893483640679
"BRCA","Epithelial","GSM7757974_R1-S5",0.163475883401541
"BRCA","Epithelial","GSM7757975_R1-S6",0.157550719952102
"BRCA","Epithelial","GSM7757976_R2-S1",0.177760213775575
"BRCA","Epithelial","GSM7757977_R2-S2",0.106413305596307
"BRCA","Epithelial","GSM7757978_R2-S3",0.189453159940851
"BRCA","Epithelial","GSM7757979_R2-S4",0.447107291848399
"BRCA","Epithelial","GSM7757980_R2-S5",0.0952772650817753
"BRCA","Epithelial","GSM7757982_R3-S2",0.145479883717477
"BRCA","Epithelial","GSM7757983_R3-S3",0.234984303131188
"BRCA","Epithelial","GSM7757984_R3-S4",0.1231324473743
"BRCA","Epithelial","GSM7757985_R3-S5",0.228090596561951
"BRCA","Epithelial","GSM7777520_A1",0.0398016619788442
"BRCA","Epithelial","GSM7777521_B1",0.115197469370094
"BRCA","Epithelial","GSM7777522_C1",0.143264495576621
"BRCA","Epithelial","GSM7777523_D1",0.290688728342259
"BRCA","Epithelial","Parent_Visium_Human_BreastCancer_201027",0.44583580417269
"BRCA","Epithelial","V1_Breast_Cancer_Block_A_Section_2_200623",0.232213984858932
"BRCA","Epithelial","V1_Human_Invasive_Ductal_Carcinoma_210511",0.225894979124212
"BRCA","Epithelial","Visium_FFPE_Human_Breast_Cancer_210609",0.0462648272760055
"BRCA","Epithelial","Visium_Human_Breast_Cancer_220702",0.221642153440082
"COCA","Epithelial","Ajou_Visium_P1",0.459296643561557
"COCA","Epithelial","Ajou_Visium_P2",0.108095517986589
"COCA","Epithelial","Ajou_Visium_P3",0.788829893434676
"COCA","Epithelial","Ajou_Visium_P4",0.243187201026851
"COCA","Epithelial","Colon_10x_Visium_SampleP2_CRC",0.186271632567599
"COCA","Epithelial","GSM7058756",0.533160686217276
"COCA","Epithelial","GSM7058757",0.107455946307767
"COCA","Epithelial","GSM7058758",0.738720591224355
"COCA","Epithelial","GSM7058759",0.184169526469264
"COCA","Epithelial","Parent_Visium_Human_ColorectalCancer_201027",0.510124947937994
"COCA","Epithelial","SN048_A121573_Rep1",0.752143131321621
"COCA","Epithelial","SN048_A121573_Rep2",0.756034393619
"COCA","Epithelial","SN048_A416371_Rep1",0.668559121838409
"COCA","Epithelial","SN048_A416371_Rep2",0.569038497198549
"COCA","Epithelial","SN123_A551763_Rep1",0.486097216170329
"COCA","Epithelial","SN123_A595688_Rep1",0.494878585685118
"COCA","Epithelial","SN123_A938797_Rep1_X",0.216540568626406
"COCA","Epithelial","SN124_A551763_Rep2",0.55549828553081
"COCA","Epithelial","SN124_A595688_Rep2",0.374503705111368
"COCA","Epithelial","SN124_A938797_Rep2",0.210028338937118
"COCA","Epithelial","SN84_A120838_Rep1",0.225990314362953
"COCA","Epithelial","SN84_A120838_Rep2",0.247096802637753
"COCA","Epithelial","Visium_FFPE_Human_Intestinal_Cancer_220329",0.115799262929283
"COCA","Epithelial","scCRLM_Atlas_ST-colon1",0.776909534585811
"COCA","Epithelial","scCRLM_Atlas_ST-colon2",0.346954660292822
"COCA","Epithelial","scCRLM_Atlas_ST-colon3",0.0561608490750867
"COCA","Epithelial","scCRLM_Atlas_ST-colon4",0.701533628673452
"HNCA","Epithelial","GSM5494475_HNSCC201125T04",0.176770047272986
"HNCA","Epithelial","GSM5494476_HNSCC201125T05",0.191086934347575
"HNCA","Epithelial","GSM5494477_HNSCC201125T07",0.605894679703058
"HNCA","Epithelial","GSM5494478_HNSCC201125T10",0.816681397661639
"HNCA","Epithelial","GSM5494479_P210325T1",0.165506012225626
"HNCA","Epithelial","GSM5494480_P210325T3",0.220350316058096
"HNCA","Epithelial","GSM5494481_P210325T5",0.187104303446609
"HNCA","Epithelial","GSM5494482_P210325T6",0.27323100641165
"HNCA","Epithelial","GSM6030901_patient_1",0.101821075093162
"HNCA","Epithelial","GSM6030902_patient_2",0.0670290767952399
"HNCA","Epithelial","GSM6339631_s1",0.164285688938135
"HNCA","Epithelial","GSM6339632_s2",0.324812457110968
"HNCA","Epithelial","GSM6339633_s3",0.196666257924204
"HNCA","Epithelial","GSM6339634_s4",0.235781471589543
"HNCA","Epithelial","GSM6339635_s5",0.493488359327995
"HNCA","Epithelial","GSM6339636_s6",0.690785864884814
"HNCA","Epithelial","GSM6339637_s7",0.306725671953035
"HNCA","Epithelial","GSM6339638_s8",0.258017859428044
"HNCA","Epithelial","GSM6339639_s9",0.394457488605682
"HNCA","Epithelial","GSM6339640_s10",0.351918275051198
"HNCA","Epithelial","GSM6339641_s11",0.673751595846629
"HNCA","Epithelial","GSM6339642_s12",0.520167272642377
"HNCA","Epithelial","GSM6833484_Patient1",0.151630319881264
"HNCA","Epithelial","GSM6833485_Patient2",0.134393652706518
"HNCA","Epithelial","GSM6833486_Patient3",0.352499551501082
"HNCA","Epithelial","GSM6833487_Patient4",0.236010342912384
"KICA","Epithelial","GSM5924030_ffpe_c_2",0.194049136899073
"KICA","Epithelial","GSM5924031_ffpe_c_3",0.0363402392841545
"KICA","Epithelial","GSM5924032_ffpe_c_4",0.139871099507968
"KICA","Epithelial","GSM5924033_ffpe_c_7",0.144079140047193
"KICA","Epithelial","GSM5924034_ffpe_c_10",0.115361425946499
"KICA","Epithelial","GSM5924035_ffpe_c_20",0.178916979501324
"KICA","Epithelial","GSM5924036_ffpe_c_21",0.251930192886621
"KICA","Epithelial","GSM5924037_ffpe_c_34",0.0447269462100663
"KICA","Epithelial","GSM5924038_ffpe_c_36",0.0836414093148899
"KICA","Epithelial","GSM5924039_ffpe_c_39",0.234351130275226
"KICA","Epithelial","GSM5924040_ffpe_c_45",0.141212570270847
"KICA","Epithelial","GSM5924041_ffpe_c_51",0.119447101313726
"KICA","Epithelial","GSM5924042_frozen_a_1",0.330672307242615
"KICA","Epithelial","GSM5924043_frozen_a_3",0.364115261875451
"KICA","Epithelial","GSM5924044_frozen_a_15",0.161147969707876
"KICA","Epithelial","GSM5924045_frozen_a_17",0.307136367734673
"KICA","Epithelial","GSM5924046_frozen_b_1",0.28571690198723
"KICA","Epithelial","GSM5924048_frozen_b_13",0.197466532468985
"KICA","Epithelial","GSM5924049_frozen_b_18",0.114075199386871
"KICA","Epithelial","GSM5924050_frozen_c_2",0.149540060395313
"KICA","Epithelial","GSM5924051_frozen_c_5",0.112443940166042
"KICA","Epithelial","GSM5924052_frozen_c_23",0.353613953697585
"KICA","Epithelial","GSM5924053_frozen_c_57",0.157703786472862
"LICA","Epithelial","GSM6177612_NYU_LIHC1_Vis",0.6709052762207
"LICA","Epithelial","GSM7850822_CHC20",0.752876216692615
"LICA","Epithelial","HCC1R",0.44895091289688
"LICA","Epithelial","HCC3R",0.665808426157481
"LICA","Epithelial","HCC4R",0.647096250155151
"LICA","Epithelial","HCC6NR",0.818762878305378
"LICA","Epithelial","HCC7NR",0.888588094758707
"LICA","Epithelial","HRA000437_HCC-1T",0.752149869149206
"LICA","Epithelial","HRA000437_HCC-2T",0.218179846568554
"LICA","Epithelial","HRA000437_HCC-3T",0.936646790393332
"LICA","Epithelial","HRA000437_HCC-4T",0.884670351296896
"LICA","Epithelial","Zenodo10119273_Tumor2",0.346909153833372
"LUCA","Epithelial","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214",0.0587229955803318
"LUCA","Epithelial","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714",0.144711082523148
"LUCA","Epithelial","E_MTAB_13530_P10_T1",0.175416788814225
"LUCA","Epithelial","E_MTAB_13530_P10_T2",0.167385610178716
"LUCA","Epithelial","E_MTAB_13530_P10_T3",0.156293705307721
"LUCA","Epithelial","E_MTAB_13530_P10_T4",0.161560465637587
"LUCA","Epithelial","E_MTAB_13530_P11_T1",0.125039475020258
"LUCA","Epithelial","E_MTAB_13530_P11_T2",0.107419955093788
"LUCA","Epithelial","E_MTAB_13530_P11_T3",0.372395631086961
"LUCA","Epithelial","E_MTAB_13530_P11_T4",0.269386346007719
"LUCA","Epithelial","E_MTAB_13530_P15_T1",0.353876909427171
"LUCA","Epithelial","E_MTAB_13530_P15_T2",0.365583737529013
"LUCA","Epithelial","E_MTAB_13530_P16_T1",0.0948188555036577
"LUCA","Epithelial","E_MTAB_13530_P16_T2",0.101203448768663
"LUCA","Epithelial","E_MTAB_13530_P17_T1",0.151949347661323
"LUCA","Epithelial","E_MTAB_13530_P17_T2",0.166611721426648
"LUCA","Epithelial","E_MTAB_13530_P19_T1",0.145421496120176
"LUCA","Epithelial","E_MTAB_13530_P19_T2",0.138582487515708
"LUCA","Epithelial","E_MTAB_13530_P24_T1",0.105343217034955
"LUCA","Epithelial","E_MTAB_13530_P24_T2",0.117759876816402
"LUCA","Epithelial","E_MTAB_13530_P25_T1",0.136751859556911
"LUCA","Epithelial","E_MTAB_13530_P25_T2",0.124671868177199
"OVCA","Epithelial","A_955_OvarianTumor",0.0680148014806633
"OVCA","Epithelial","A_GTFB1154_OvarianCancerTumor",0.0642628611070335
"OVCA","Epithelial","B_GTFB1191_OvarianCancerTumor",0.152828483228371
"OVCA","Epithelial","C_GTFB1170_SmallCellOvarianCancer",0.0858911839535126
"OVCA","Epithelial","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715",0.0402149714459209
"OVCA","Epithelial","D_GTFB1170_SmallCellOvarianCancer",0.104689518283403
"OVCA","Epithelial","D_GTFB_1230_OvarianTumor",0.686959933342604
"OVCA","Epithelial","GSM6177614_NYU_OVCA1_Vis",0.0902445041087078
"OVCA","Epithelial","GSM6177617_NYU_OVCA3_Vis",0.384128278222636
"OVCA","Epithelial","GSM6506110_SP1",0.160006348281299
"OVCA","Epithelial","GSM6506111_SP2",0.182917223383805
