"cancer_type","sample_id","celltype","count","proportion"
"BRCA","GSE176078_CID3586","Epithelial",586,0.116826156299841
"BRCA","GSE176078_CID3921","Epithelial",384,0.142644873699851
"BRCA","GSE176078_CID3941","Epithelial",190,0.348623853211009
"BRCA","GSE176078_CID3948","Epithelial",247,0.165771812080537
"BRCA","GSE176078_CID3963","Epithelial",185,0.0614822200066467
"BRCA","GSE176078_CID4066","Epithelial",748,0.15409971157808
"BRCA","GSE176078_CID4067","Epithelial",2127,0.698751642575558
"BRCA","GSE176078_CID4290A","Epithelial",3512,0.773568281938326
"BRCA","GSE176078_CID44041","Epithelial",137,0.0681253107906514
"BRCA","GSE176078_CID4461","Epithelial",169,0.782407407407407
"BRCA","GSE176078_CID4463","Epithelial",624,0.643298969072165
"BRCA","GSE176078_CID4465","Epithelial",115,0.2875
"BRCA","GSE176078_CID4471","Epithelial",2104,0.254075594734935
"BRCA","GSE176078_CID4495","Epithelial",1022,0.147432198499711
"BRCA","GSE176078_CID44971","Epithelial",1499,0.203862369101047
"BRCA","GSE176078_CID44991","Epithelial",3749,0.618748968476646
"BRCA","GSE176078_CID4513","Epithelial",230,0.0427668278170324
"BRCA","GSE176078_CID4515","Epithelial",2009,0.522360894435777
"BRCA","GSE176078_CID45171","Epithelial",780,0.343158820941487
"BRCA","GSE176078_CID4523","Epithelial",1042,0.727145847871598
"BRCA","GSE176078_CID4530N","Epithelial",2039,0.488617301701414
"BRCA","GSE176078_CID4535","Epithelial",2139,0.603725656223539
"BRCA","GSM4909253","Epithelial",3178,0.773989283974671
"BRCA","GSM4909254","Epithelial",4329,0.721139430284858
"BRCA","GSM4909255","Epithelial",1030,0.978157644824311
"BRCA","GSM4909256","Epithelial",5456,0.983240223463687
"BRCA","GSM4909257","Epithelial",1817,0.425526932084309
"BRCA","GSM4909258","Epithelial",2363,0.930681370618354
"BRCA","GSM4909259","Epithelial",2590,0.992337164750958
"BRCA","GSM4909260","Epithelial",4505,0.987938596491228
"BRCA","GSM4909261","Epithelial",840,0.276497695852535
"BRCA","GSM4909262","Epithelial",3150,1
"BRCA","GSM4909263","Epithelial",707,0.588186356073211
"BRCA","GSM4909264","Epithelial",1587,0.965328467153285
"BRCA","GSM4909265","Epithelial",2093,0.438692098092643
"BRCA","GSM4909266","Epithelial",685,0.169596434761079
"BRCA","GSM4909267","Epithelial",2543,1
"BRCA","GSM4909268","Epithelial",4352,0.748666781352142
