"Compartment","Gene","scores","logFC","pvals","pvals_adj"
"Normal","DCN",146.60542,1.0757989,0,0
"Normal","PTGDS",93.13918,1.0976144,0,0
"Normal","CCDC80",83.56719,1.0676779,0,0
"Normal","MFAP4",62.957237,1.0718775,0,0
"Normal","TNXB",61.576366,1.3006886,0,0
"Normal","C7",61.031204,1.1483674,0,0
"Normal","COL14A1",53.21401,1.0861508,0,0
"Normal","HSPB6",51.42943,1.19763,0,0
"Normal","SYNPO2",45.964565,1.06532,0,0
"Normal","MZB1",44.687565,1.0664469,0,0
"Boundary","MMP11",44.960533,0.6461685,0,0
"Boundary","NTS",15.151591,0.9439691,7.4e-52,6.6e-51
"Boundary","EGFL6",12.13742,0.5564765,6.69e-34,3.58e-33
"Boundary","ALDH3A1",11.511416,0.6791703,1.16e-30,5.59e-30
"Boundary","COCH",10.412229,0.5378426,2.18e-25,8.81e-25
"Boundary","NAPSA",10.257542,0.6039699,1.09e-24,4.3e-24
"Boundary","SFTPD",9.142179,0.7517319,6.12e-20,2e-19
"Boundary","SLC22A31",7.659393,0.58396167,1.87e-14,4.8e-14
"Boundary","SOX2",6.790267,0.7068334,1.12e-11,2.52e-11
"Boundary","PSCA",6.7051234,0.5646233,2.01e-11,4.47e-11
"Malignant","PDE10A",59.489902,1.1890519,0,0
"Malignant","GAL3ST1",56.78729,1.2615478,0,0
"Malignant","DOC2A",53.912575,1.4312036,0,0
"Malignant","ENPP3",51.032528,1.5238308,0,0
"Malignant","PCLO",49.464127,1.2106823,0,0
"Malignant","GNG4",46.5711,1.2441723,0,0
"Malignant","FAM222A",45.649258,1.1714653,0,0
"Malignant","RIMKLA",44.299706,1.2150224,0,0
"Malignant","VEPH1",40.771637,1.1963891,0,0
"Malignant","GAS2",37.503387,1.4735729,8.11e-308,1.22e-307
