panel,group,comparison,test,n_slides,pvalue
fig3c_per_sample_J,all_slides,Mal-Bdy,wilcoxon_signed_rank,253,0.0035564378885639585
fig3c_per_sample_J,all_slides,Bdy-Normal,wilcoxon_signed_rank,253,1.6283056205656965e-16
fig3c_per_sample_J,all_slides,Mal-Normal,wilcoxon_signed_rank,253,2.376828118345917e-09
fig3g_Cycling_Bgc_partners,Epi_Cycle,Mal-Bdy,wilcoxon_signed_rank,253,0.028518246996254486
fig3g_Cycling_Bgc_partners,Epi_Cycle,Bdy-Normal,wilcoxon_signed_rank,262,1.0628477236585676e-16
fig3g_Cycling_Bgc_partners,Epi_Cycle,Mal-Normal,wilcoxon_signed_rank,254,1.0056619083215422e-11
fig3g_Cycling_Bgc_partners,CD8_Cycling_Tex,Mal-Bdy,wilcoxon_signed_rank,253,0.05264933330927863
fig3g_Cycling_Bgc_partners,CD8_Cycling_Tex,Bdy-Normal,wilcoxon_signed_rank,262,1.4273931737169462e-12
fig3g_Cycling_Bgc_partners,CD8_Cycling_Tex,Mal-Normal,wilcoxon_signed_rank,254,1.7294670024139084e-06
fig3g_Cycling_Bgc_partners,CD4_Cycling_Treg,Mal-Bdy,wilcoxon_signed_rank,253,0.0027075872768928515
fig3g_Cycling_Bgc_partners,CD4_Cycling_Treg,Bdy-Normal,wilcoxon_signed_rank,262,6.432176196911883e-12
fig3g_Cycling_Bgc_partners,CD4_Cycling_Treg,Mal-Normal,wilcoxon_signed_rank,254,0.00021090275345476522
fig3g_Cycling_Bgc_partners,Plasmablast,Mal-Bdy,wilcoxon_signed_rank,253,0.5811440583044086
fig3g_Cycling_Bgc_partners,Plasmablast,Bdy-Normal,wilcoxon_signed_rank,262,6.623983970393044e-11
fig3g_Cycling_Bgc_partners,Plasmablast,Mal-Normal,wilcoxon_signed_rank,254,4.774113799625841e-10
fig3g_Cycling_Bgc_partners,SPP1+_cycMacro,Mal-Bdy,wilcoxon_signed_rank,253,0.02393830536839345
fig3g_Cycling_Bgc_partners,SPP1+_cycMacro,Bdy-Normal,wilcoxon_signed_rank,262,1.5697533110623463e-15
fig3g_Cycling_Bgc_partners,SPP1+_cycMacro,Mal-Normal,wilcoxon_signed_rank,254,7.97288845190236e-09
fig3g_Cycling_Bgc_partners,cyc_mCAF,Mal-Bdy,wilcoxon_signed_rank,253,0.12114159360745755
fig3g_Cycling_Bgc_partners,cyc_mCAF,Bdy-Normal,wilcoxon_signed_rank,262,2.2574589365141047e-12
fig3g_Cycling_Bgc_partners,cyc_mCAF,Mal-Normal,wilcoxon_signed_rank,254,4.167877281439123e-09
fig3g_Cycling_Bgc_partners,ABC,Mal-Bdy,wilcoxon_signed_rank,253,0.0008503924524840776
fig3g_Cycling_Bgc_partners,ABC,Bdy-Normal,wilcoxon_signed_rank,262,8.210918029763863e-07
fig3g_Cycling_Bgc_partners,ABC,Mal-Normal,wilcoxon_signed_rank,254,0.13589688115895607
fig3g_Cycling_Bgc_partners,CD4_Tcm/Tn,Mal-Bdy,wilcoxon_signed_rank,253,0.0007508564683574785
fig3g_Cycling_Bgc_partners,CD4_Tcm/Tn,Bdy-Normal,wilcoxon_signed_rank,262,5.824305873874805e-10
fig3g_Cycling_Bgc_partners,CD4_Tcm/Tn,Mal-Normal,wilcoxon_signed_rank,254,0.02884578887240517
fig3g_Cycling_Bgc_partners,Bn,Mal-Bdy,wilcoxon_signed_rank,253,0.001519516113011634
