cell_type_1,cell_type_2,cancer_type,median_jaccard,n_slides
Epithelial,T cell,BRCA,0.0171149144254278,75
Epithelial,T cell,COCA,0.0065430752453653,27
Epithelial,T cell,HNCA,0.0246360551000743,26
Epithelial,T cell,KICA,0.0202663578459756,23
Epithelial,T cell,LICA,0.001088139281828,12
Epithelial,T cell,LUCA,0.0212736954604022,22
Epithelial,T cell,OVCA,0.0499759846301633,24
Epithelial,T cell,PACA,0.0432389601393059,14
Epithelial,T cell,PRCA,0.01566538764705,8
Epithelial,T cell,SKCA,0.0186201288079191,16
Epithelial,T cell,STCA,0.0126751167444963,11
Epithelial,T cell,THCA,0.0298953662182361,5
Epithelial,T cell,UECA,0.0519125683060109,5
Epithelial,B cell,BRCA,0.0124688279301745,75
Epithelial,B cell,COCA,0.032,27
Epithelial,B cell,HNCA,0.0138283778800584,26
Epithelial,B cell,KICA,0.0529141104294478,23
Epithelial,B cell,LICA,0.0002290426019239,12
Epithelial,B cell,LUCA,0.0514170199734211,22
Epithelial,B cell,OVCA,0.0659472968751318,24
Epithelial,B cell,PACA,0.0594820412609217,14
Epithelial,B cell,PRCA,0.0252763730733035,8
Epithelial,B cell,SKCA,0.0141587195250104,16
Epithelial,B cell,STCA,0.0179425837320574,11
Epithelial,B cell,THCA,0.0170848905499199,5
Epithelial,B cell,UECA,0.146788990825688,5
Epithelial,Myeloid,BRCA,0.0329776915615906,75
Epithelial,Myeloid,COCA,0.0275449101796407,27
Epithelial,Myeloid,HNCA,0.0217005211618901,26
Epithelial,Myeloid,KICA,0.0538965768390386,23
Epithelial,Myeloid,LICA,0.004293859273488,12
Epithelial,Myeloid,LUCA,0.0369908636483221,22
Epithelial,Myeloid,OVCA,0.0601868824567897,24
Epithelial,Myeloid,PACA,0.0766627046301798,14
Epithelial,Myeloid,PRCA,0.0227866043231373,8
Epithelial,Myeloid,SKCA,0.0169616306954436,16
Epithelial,Myeloid,STCA,0.0466497031382527,11
Epithelial,Myeloid,THCA,0.026888604353393,5
Epithelial,Myeloid,UECA,0.105318039624608,5
Epithelial,Endothelial,BRCA,0.0448318804483188,75
Epithelial,Endothelial,COCA,0.0141843971631205,27
