node,lineage,degree
ABC,B cell,35
NR4A2+_Bn,B cell,36
CD16+_Mono,Myeloid,50
CD16+_NK,T cell,45
CD16-_NK,T cell,42
CD1C+_cDC,Myeloid,41
CLEC9A+_cDC,Myeloid,35
CD4_CXCL13+_T,T cell,35
CD4_Tfh,T cell,41
Bgc,B cell,40
ILC3,T cell,32
CD8_ISG15+_T,T cell,37
LAMP3+_cDC,Myeloid,33
LILRA4+_pDC,Myeloid,38
MAIT,T cell,40
Macro,Myeloid,51
Bmem,B cell,34
NK,T cell,45
Bn,B cell,35
Plasma,B cell,28
Cycling_Bgc,B cell,14
CD4_Unassigned_T,T cell,44
TNFSF10+_Macro,Myeloid,25
CD8_Tcm/Tn,T cell,34
CD4_Tcm/Tn,T cell,34
CD4_Tem/Effector,T cell,41
CD8_Tem/Temra,T cell,38
CD8_Tem/Trm,T cell,42
CD8_Trm,T cell,42
CD4_Th17,T cell,39
CD4_Th1,T cell,40
CD8_Cycling_Tex,T cell,38
CD4_Cycling_Treg,T cell,36
CD8_Tex,T cell,39
gd_T,Myeloid,40
CD4_Treg,T cell,36
Arterial_EC,Endothelial,19
CD14+_EC,Endothelial,19
Capillary_EC,Endothelial,25
Fibrosis_PGF+_Tip_EC,Endothelial,14
HSP+_tCAF,Fibroblast,18
IL6+_iCAF,Fibroblast,26
Lymphatic_EC,Endothelial,24
Mast,Myeloid,32
PGF+_Tip_EC,Endothelial,14
PI16+_iCAF,Fibroblast,16
Pericyte,Mural,17
SMC,Mural,12
SPRY1+_EC,Endothelial,27
Tip_EC,Endothelial,14
Venous_EC,Endothelial,27
Venous_iEC,Endothelial,27
iCAF,Fibroblast,18
myoCAF,Fibroblast,20
pnCAF,Fibroblast,18
vCAF,Fibroblast,33
CXCL3+_Macro,Myeloid,37
CCL2+_iEC,Endothelial,8
CD14+_Mono,Myeloid,24
HMOX1+_iEC,Endothelial,10
TMEM100+_EC,Endothelial,13
FOLR2+_Macro,Myeloid,35
HSPA6+_Macro,Myeloid,10
SPP1+_CXCL3+_Macro,Myeloid,10
SPP1+_MT1+_Macro,Myeloid,18
CXCL14+_mCAF,Fibroblast,22
ISG15+_mCAF,Fibroblast,16
SPP1+_cycMacro,Myeloid,16
apCAF,Fibroblast,23
tCAF,Fibroblast,11
HMGB2+_cycEC,Endothelial,14
mCAF,Fibroblast,8
Normal_Fibroblast,Fibroblast,11
Epi_Cycle,Epithelial,3
Epi_Luminal,Epithelial,6
Epi_Hypox-Stress,Epithelial,10
Epi_ER-Stress,Epithelial,9
Epi_MHCII,Epithelial,9
Epi_Hypox-Adapt,Epithelial,6
Epi_Ciliated,Epithelial,4
Epi_Oxphos-Ion,Epithelial,6
Epi_Basal,Epithelial,5
Epi_Hormonal,Epithelial,6
Epi_cEMT,Epithelial,9
Epi_Xenobiotic,Epithelial,6
Epi_Glandular,Epithelial,6
Epi_TNF,Epithelial,5
Epi_Interferon,Epithelial,5
Epi_Squamous,Epithelial,4
cyc_mCAF,Fibroblast,8
SPP1+_Macro,Myeloid,4
Plasmablast,B cell,2
