node,betweenness,lineage
Cycling_Bgc,0.165419850162311,B cell
HSPA6+_Macro,0.133817742669002,Myeloid
Epi_Hypox-Stress,0.0822819028152869,Epithelial
Epi_MHCII,0.0756430743172761,Epithelial
Macro,0.0737933625208561,Myeloid
FOLR2+_Macro,0.0439860812188717,Myeloid
CD8_Tex,0.0324194023232711,T cell
Epi_Interferon,0.0321780734978295,Epithelial
CD8_Tem/Trm,0.0316665310484724,T cell
SPP1+_cycMacro,0.0313180880370207,Myeloid
Epi_Luminal,0.0300827479303646,Epithelial
CD16+_Mono,0.0259520347184649,Myeloid
vCAF,0.0257752474839558,Fibroblast
CD14+_Mono,0.0253209168280772,Myeloid
ISG15+_mCAF,0.0220761287782459,Fibroblast
CD4_Cycling_Treg,0.0217803304585453,T cell
CD4_Tcm/Tn,0.0210071332016549,T cell
cyc_mCAF,0.0209680365457512,Fibroblast
Mast,0.0197230192468165,Myeloid
NR4A2+_Bn,0.0189812887315625,B cell
CD16+_NK,0.0180380812667716,T cell
apCAF,0.0179269734048994,Fibroblast
NK,0.0169947158181273,T cell
CD8_Cycling_Tex,0.0158240206605841,T cell
SPRY1+_EC,0.0155769816621745,Endothelial
Bn,0.0143904544947873,B cell
Venous_iEC,0.0136161509374859,Endothelial
CD1C+_cDC,0.0132674623345561,Myeloid
CD8_Tcm/Tn,0.0127396103682195,T cell
tCAF,0.0119388974033655,Fibroblast
CXCL14+_mCAF,0.0112037435541666,Fibroblast
CD4_Unassigned_T,0.0108291612988012,T cell
ABC,0.0106051156881134,B cell
Venous_EC,0.0102045928205329,Endothelial
CD16-_NK,0.0100940114053678,T cell
CXCL3+_Macro,0.0100210866641292,Myeloid
Epi_ER-Stress,0.009578191515932,Epithelial
Epi_cEMT,0.0089214186207912,Epithelial
HMGB2+_cycEC,0.0088582741562771,Endothelial
IL6+_iCAF,0.0086535946700584,Fibroblast
LILRA4+_pDC,0.0084241992507879,Myeloid
Capillary_EC,0.0082077883840732,Endothelial
SPP1+_MT1+_Macro,0.0079716011264704,Myeloid
iCAF,0.0074552180332118,Fibroblast
Bgc,0.0066993473030092,B cell
gd_T,0.0066553728422386,T cell
CD4_Tfh,0.0062669839566405,T cell
HSP+_tCAF,0.0061738481724297,Fibroblast
CD4_Th17,0.0058652482232457,T cell
myoCAF,0.0057432101843848,Fibroblast
Lymphatic_EC,0.0056498430786862,Endothelial
Pericyte,0.0054716274952065,Mural
CD8_Trm,0.0054678017767632,T cell
SPP1+_CXCL3+_Macro,0.0047046624366723,Myeloid
CD4_Tem/Effector,0.0047015054240833,T cell
TNFSF10+_Macro,0.004270871755788,Myeloid
MAIT,0.0041841744563808,T cell
Normal_Fibroblast,0.0039374056166459,Myeloid
CD4_Th1,0.0037164403030407,T cell
Epi_Basal,0.0036937016045452,Epithelial
Epi_Hormonal,0.0036347492416333,Epithelial
Epi_Oxphos-Ion,0.0036347492416333,Epithelial
CD14+_EC,0.0034146802554653,Endothelial
Epi_TNF,0.003364524350904,Epithelial
mCAF,0.0030371188864934,Fibroblast
HMOX1+_iEC,0.0029735370176925,Endothelial
PGF+_Tip_EC,0.0023867488160524,Endothelial
pnCAF,0.0021211506220452,Fibroblast
CD8_Tem/Temra,0.0021102804312413,T cell
Epi_Xenobiotic,0.0021057007845309,Epithelial
PI16+_iCAF,0.0020748754834065,Fibroblast
Arterial_EC,0.0020293374034129,Endothelial
Tip_EC,0.0018310210349069,Endothelial
TMEM100+_EC,0.0017824918093319,Endothelial
ILC3,0.0017175868356328,T cell
Epi_Glandular,0.0016780045351473,Epithelial
LAMP3+_cDC,0.0016750774085309,Myeloid
CLEC9A+_cDC,0.0016379810784425,Myeloid
CCL2+_iEC,0.0015180534700531,Endothelial
Bmem,0.0014662905069276,B cell
CD8_ISG15+_T,0.0011816768882303,T cell
CD4_Treg,0.0010701743534614,T cell
SMC,0.0010336255407566,Mural
Fibrosis_PGF+_Tip_EC,0.000628619944541,Endothelial
CD4_CXCL13+_T,0.0005091659888206,T cell
Epi_Hypox-Adapt,0.0004680504680504,Epithelial
Plasma,0.0001418512581341,B cell
Epi_Squamous,0.0001098901098901,Epithelial
SPP1+_Macro,6.29136658548423e-05,Myeloid
Epi_Ciliated,4.88400488400488e-05,Epithelial
Epi_Cycle,0.0,Epithelial
Plasmablast,0.0,B cell
