"signature","sample_id","Malignancy","value"
"Epithelial","01_034_C1d1","Malignant",0.26566139704891
"Epithelial","01_034_C1d1","Boundary",0.0613827424659873
"Epithelial","01_034_C1d1","Normal",-0.0108246629527768
"Epithelial","01_034_C3d1","Malignant",0.335588961506375
"Epithelial","01_034_C3d1","Boundary",0.218173181906962
"Epithelial","01_034_C3d1","Normal",0.0877471544338708
"Epithelial","01_039_C1d1","Malignant",0.41842558035319
"Epithelial","01_039_C1d1","Boundary",0.196436139633334
"Epithelial","01_039_C1d1","Normal",0.0765582662013472
"Epithelial","01_039_C3d1","Malignant",0.410058553337873
"Epithelial","01_039_C3d1","Boundary",0.321907808465162
"Epithelial","01_039_C3d1","Normal",0.308484478470148
"Epithelial","1142243F","Malignant",0.192467385315817
"Epithelial","1142243F","Boundary",0.148974153814916
"Epithelial","1142243F","Normal",0.18198827701225
"Epithelial","1160920F","Malignant",0.398181668266204
"Epithelial","1160920F","Boundary",0.364510972900674
"Epithelial","1160920F","Normal",0.24997536873671
"Epithelial","A_955_OvarianTumor","Malignant",0.388698859691713
"Epithelial","A_955_OvarianTumor","Boundary",0.154746830595129
"Epithelial","A_955_OvarianTumor","Normal",0.0875717252645812
"Epithelial","A_GTFB1154_OvarianCancerTumor","Malignant",0.225808484417791
"Epithelial","A_GTFB1154_OvarianCancerTumor","Boundary",-0.111718658832383
"Epithelial","A_GTFB1154_OvarianCancerTumor","Normal",-0.237637381390678
"Epithelial","Ajou_Visium_P1","Malignant",0.439532436477115
"Epithelial","Ajou_Visium_P1","Boundary",0.432881472627312
"Epithelial","Ajou_Visium_P1","Normal",0.416342228090663
"Epithelial","Ajou_Visium_P2","Malignant",0.44507762507593
"Epithelial","Ajou_Visium_P2","Boundary",0.364812017241142
"Epithelial","Ajou_Visium_P2","Normal",0.0311871349811364
"Epithelial","Ajou_Visium_P3","Malignant",0.131845527551185
"Epithelial","Ajou_Visium_P3","Boundary",0.264738341035276
"Epithelial","Ajou_Visium_P3","Normal",0.422288076398707
"Epithelial","Ajou_Visium_P4","Malignant",0.408442418847945
"Epithelial","Ajou_Visium_P4","Boundary",0.277118477039023
"Epithelial","Ajou_Visium_P4","Normal",0.15740460831244
"Epithelial","B_GTFB1191_OvarianCancerTumor","Malignant",0.276214815004308
"Epithelial","B_GTFB1191_OvarianCancerTumor","Boundary",0.24047886944245
"Epithelial","B_GTFB1191_OvarianCancerTumor","Normal",0.228964584425823
"Epithelial","CID4290","Malignant",0.521369626650112
"Epithelial","CID4290","Boundary",0.491931575582
"Epithelial","CID4290","Normal",0.488203468072815
"Epithelial","CID4465","Malignant",0.212074870612509
"Epithelial","CID4465","Boundary",0.0639917349950628
"Epithelial","CID4465","Normal",-0.0716914241939493
"Epithelial","CID44971","Malignant",0.333667685582635
"Epithelial","CID44971","Boundary",0.264933794795364
"Epithelial","CID44971","Normal",0.162542679234925
"Epithelial","CID4535","Malignant",0.252514714081968
"Epithelial","CID4535","Boundary",0.193985347315734
"Epithelial","CID4535","Normal",0.123789598717423
"Epithelial","C_GTFB1170_SmallCellOvarianCancer","Malignant",-0.173524472490632
"Epithelial","C_GTFB1170_SmallCellOvarianCancer","Boundary",-0.182563844150591
"Epithelial","C_GTFB1170_SmallCellOvarianCancer","Normal",-0.235258076241055
"Epithelial","Colon_10x_Visium_SampleP2_CRC","Malignant",0.465411205763744
"Epithelial","Colon_10x_Visium_SampleP2_CRC","Boundary",0.310520045014556
"Epithelial","Colon_10x_Visium_SampleP2_CRC","Normal",-0.116678988183379
"Epithelial","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Malignant",-0.0096705247808187
"Epithelial","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Boundary",-0.0213736572163814
"Epithelial","CytAssist_11mm_FFPE_Human_Lung_Cancer_230214","Normal",-0.0329393095522882
"Epithelial","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Malignant",-0.201941078947382
"Epithelial","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Boundary",-0.0223374989519809
"Epithelial","CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715","Normal",0.123202007064343
"Epithelial","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Malignant",0.195497246844757
