"signature","sample_id","Malignancy","value"
"pEMT","01_034_C1d1","Malignant",0.541197526205912
"pEMT","01_034_C1d1","Boundary",0.67716891406052
"pEMT","01_034_C1d1","Normal",0.714540737608608
"pEMT","01_034_C3d1","Malignant",0.453433560126733
"pEMT","01_034_C3d1","Boundary",0.593272063257014
"pEMT","01_034_C3d1","Normal",0.573187115468048
"pEMT","01_039_C1d1","Malignant",0.432082846042747
"pEMT","01_039_C1d1","Boundary",0.52309233261327
"pEMT","01_039_C1d1","Normal",0.467011835711539
"pEMT","01_039_C3d1","Malignant",0.341344286540903
"pEMT","01_039_C3d1","Boundary",0.399480756898131
"pEMT","01_039_C3d1","Normal",0.412321745205413
"pEMT","1142243F","Malignant",0.534347880149599
"pEMT","1142243F","Boundary",0.597141164944571
"pEMT","1142243F","Normal",0.639759506070896
"pEMT","1160920F","Malignant",0.647331684694604
"pEMT","1160920F","Boundary",0.664874212945137
"pEMT","1160920F","Normal",0.641938970678426
"pEMT","A_955_OvarianTumor","Malignant",0.386997057273329
"pEMT","A_955_OvarianTumor","Boundary",0.485596365566643
"pEMT","A_955_OvarianTumor","Normal",0.538341760583194
"pEMT","A_GTFB1154_OvarianCancerTumor","Malignant",0.56644080035263
"pEMT","A_GTFB1154_OvarianCancerTumor","Boundary",0.611722237518962
"pEMT","A_GTFB1154_OvarianCancerTumor","Normal",0.609399884261587
"pEMT","Ajou_Visium_P1","Malignant",0.549136637318482
"pEMT","Ajou_Visium_P1","Boundary",0.562326535095112
"pEMT","Ajou_Visium_P1","Normal",0.575023581927328
"pEMT","Ajou_Visium_P2","Malignant",0.608535674288798
"pEMT","Ajou_Visium_P2","Boundary",0.649066463547259
"pEMT","Ajou_Visium_P2","Normal",0.519220722784143
"pEMT","Ajou_Visium_P3","Malignant",0.426351723266927
"pEMT","Ajou_Visium_P3","Boundary",0.423185650601283
"pEMT","Ajou_Visium_P3","Normal",0.561036145738075
"pEMT","Ajou_Visium_P4","Malignant",0.597816646341684
"pEMT","Ajou_Visium_P4","Boundary",0.644582127941206
"pEMT","Ajou_Visium_P4","Normal",0.484375162281594
"pEMT","B_GTFB1191_OvarianCancerTumor","Malignant",0.56538715480526
"pEMT","B_GTFB1191_OvarianCancerTumor","Boundary",0.590005665102955
"pEMT","B_GTFB1191_OvarianCancerTumor","Normal",0.608062216641371
"pEMT","CID4290","Malignant",0.668118183724317
"pEMT","CID4290","Boundary",0.666451037947233
"pEMT","CID4290","Normal",0.686510749381929
"pEMT","CID4465","Malignant",0.669229182992636
"pEMT","CID4465","Boundary",0.715320845859881
"pEMT","CID4465","Normal",0.671123854589314
"pEMT","CID44971","Malignant",0.521989765662875
"pEMT","CID44971","Boundary",0.607724040828102
"pEMT","CID44971","Normal",0.583021490590079
"pEMT","CID4535","Malignant",0.293254304921671
"pEMT","CID4535","Boundary",0.342957718211149
"pEMT","CID4535","Normal",0.429884709269792
