"celltype","global_celltype","spearman_rho","p_value","rank"
"cyc_mCAF","Fibroblast",0.437223682924604,0,1
"tCAF","Fibroblast",0.433563331188413,0,2
"ISG15+_mCAF","Fibroblast",0.380923562980431,0,3
"SPP1+_cycMacro","Myeloid",0.37474935568261,0,4
"SPP1+_CXCL3+_Macro","Myeloid",0.356872579998342,0,5
"HSPA6+_Macro","Myeloid",0.351975092619911,0,6
"mCAF","Fibroblast",0.345074167670409,0,7
"SPP1+_MT1+_Macro","Myeloid",0.338823757227296,0,8
"Macro","Myeloid",0.2963142157572,0,9
"SPP1+_Macro","Myeloid",0.293887720320118,0,10
"apCAF","Fibroblast",0.275175796061563,0,11
"Epi_Interferon","Epithelial",0.273216494889205,0,12
"CD4_Cycling_Treg","Tcell",0.266105620289202,0,13
"CD8_Cycling_Tex","Tcell",0.25738488761049,0,14
"PGF+_Tip_EC","Endothelial",0.248121730881786,0,15
"HMGB2+_cycEC","Endothelial",0.246218150574791,0,16
"HSP+_tCAF","Fibroblast",0.230313778589923,0,17
"Epi_Squamous","Epithelial",0.227787250933171,0,18
"Normal_Fibroblast","Fibroblast",0.219396544231285,0,19
"CD1C+_cDC","Myeloid",0.212907368104689,0,20
"CLEC9A+_cDC","Myeloid",0.209631046773333,0,21
"TNFSF10+_Macro","Myeloid",0.208865602018537,0,22
"Epi_Basal","Epithelial",0.207342690827366,0,23
"Pericyte","Mural",0.2073223165322,0,24
"CXCL3+_Macro","Myeloid",0.20611687766709,0,25
"FOLR2+_Macro","Myeloid",0.187860615799133,0,26
"CD14+_Mono","Myeloid",0.184031284733162,0,27
"LAMP3+_cDC","Myeloid",0.180762898463868,0,28
"myoCAF","Fibroblast",0.176977304169565,0,29
"γδ_T","Tcell",0.159652220702193,0,30
"CXCL14+_mCAF","Fibroblast",0.147610077091993,0,31
"CD8_Tex","Tcell",0.139092195864238,2.77718382593851e-303,32
"vCAF","Fibroblast",0.130944223293921,9.70462344368167e-269,33
"CD8_Tcm/Tn","Tcell",0.130359943914115,2.40540328999753e-266,34
"Epi_Cycle","Epithelial",0.129691117380226,1.28313582688643e-263,35
"Tip_EC","Endothelial",0.121645901316557,6.01534352459023e-232,36
"CD16+_Mono","Myeloid",0.119810077893139,5.17502712871136e-225,37
"HMOX1+_iEC","Endothelial",0.111381180141232,1.46375730993663e-194,38
"Mast","Myeloid",0.107014220008507,1.11947722687275e-179,39
"IL6+_iCAF","Fibroblast",0.106177496471453,6.78218231529212e-177,40
"Lymphatic_EC","Endothelial",0.1028222867868,5.81759432175684e-166,41
"SMC","Mural",0.0976324670121269,9.38710852534313e-150,42
"CD4_Treg","Tcell",0.0937898123992979,2.6524797997643e-138,43
"PI16+_iCAF","Fibroblast",0.0914405832418664,1.56535526552654e-131,44
"pnCAF","Fibroblast",0.0883680943285017,6.13101746464566e-123,45
"CD8_Trm","Tcell",0.0878007107683063,2.19699741119304e-121,46
"Plasma","Bcell",0.085666625338274,1.2510711037816e-115,47
"CD4_Th17","Tcell",0.0818853285068576,8.78435670692664e-106,48
"CD8_ISG15+_T","Tcell",0.0703522418330767,1.6198943642471e-78,49
"Epi_Glandular","Epithelial",0.0631112446658285,1.6120601588341e-63,50
"LILRA4+_pDC","Myeloid",0.0627176953377818,9.45791750813065e-63,51
"CD4_Tfh","Tcell",0.0622309262806005,8.30937966668692e-62,52
"CD4_CXCL13+_T","Tcell",0.0595769024175235,8.62870392999454e-57,53
"CD16+_NK","Tcell",0.0593206335273531,2.56300987539442e-56,54
"Cycling_Bgc","Bcell",0.0566673959815194,1.52830644233387e-51,55
"Capillary_EC","Endothelial",0.056517604697975,2.80097830427814e-51,56
"CD16-_NK","Tcell",0.0534326969483714,5.14432938371767e-46,57
"ABC","Bcell",0.0507215489089444,1.24341463141419e-41,58
"CD4_Th1","Tcell",0.0474407285432569,1.24579427898111e-36,59
"Arterial_EC","Endothelial",0.0473360185766649,1.77658037829589e-36,60
"CD8_Tem/Temra","Tcell",0.0457303486989281,3.72305696772023e-34,61
