LR pair,Median Jaccard index,No. of cancer types tested,No. of cancer types with P < 0.01,Replication P value,BH-adjusted q value (FDR),Rank
PLAU-PLAUR,0.0571480406386065,13,13,1e-26,2.32333333333333e-24,1
FN1-PLAUR,0.0471175166297117,13,12,1.288e-23,1.12217e-21,2
PLAU-ITGB2,0.0442110405471421,13,13,1e-26,2.32333333333333e-24,3
SPP1-ITGA5,0.043167701863354,13,13,1e-26,2.32333333333333e-24,4
APOE-TREM2,0.0419377527694742,13,9,6.8960885995e-16,6.49536993763716e-15,5
SERPINE1-PLAUR,0.0418367346938775,13,12,1.288e-23,1.12217e-21,6
CD14-ITGB2,0.0411595672751859,13,10,2.7827128e-18,4.51058330604651e-17,7
SELPLG-ITGB2,0.0374125874125873,13,10,2.7827128e-18,4.51058330604651e-17,8
FN1-ITGA5,0.037087912087912,13,10,2.7827128e-18,4.51058330604651e-17,9
S100A9-CD68,0.0354782882315921,13,12,1.288e-23,1.12217e-21,10
ALOX5AP-ALOX5,0.0350985221674876,13,11,7.65766e-21,2.96521612222222e-19,11
ICAM1-ITGAX,0.0349671705603908,13,11,7.65766e-21,2.96521612222222e-19,12
S100A9-ITGB2,0.0346925133689839,13,10,2.7827128e-18,4.51058330604651e-17,13
PLAU-ITGA5,0.0343719571567672,13,13,1e-26,2.32333333333333e-24,14
TNC-ITGA5,0.0339080459770114,13,9,6.8960885995e-16,6.49536993763716e-15,15
ICAM1-ITGB2,0.0333333333333333,13,11,7.65766e-21,2.96521612222222e-19,16
LAMB3-ITGB4,0.0317540322580645,13,8,1.2308202828208e-13,7.49241691813185e-13,17
SPP1-ITGAV,0.0317460317460317,13,11,7.65766e-21,2.96521612222222e-19,18
MMP9-ITGB2,0.0299663299663299,13,11,7.65766e-21,2.96521612222222e-19,19
LAMB3-ITGA2,0.0298573975044563,13,7,1.62788813920032e-11,6.81464284097673e-11,20
PLAU-ITGAM,0.0295138888888888,13,13,1e-26,2.32333333333333e-24,21
SPP1-CD44,0.0294372294372294,13,11,7.65766e-21,2.96521612222222e-19,22
CSF1-CSF1R,0.0288812428318214,13,10,2.7827128e-18,4.51058330604651e-17,23
PLAU-ITGAV,0.0288501452885014,13,13,1e-26,2.32333333333333e-24,24
S100A8-ITGB2,0.0278637770897832,13,12,1.288e-23,1.12217e-21,25
