"cell_pair","cancer_type","row_order","col_order","value","raw_J_comp_agg","mask","n_cancer_topk","top_k","agg","value_type","fill_label","fill_min","fill_mid","fill_max"
"B cell-T cell","LICA",1,1,1.6418062,0.82602017,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","BRCA",1,2,2.48273739,0.74634146,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","KICA",1,3,2.87774704,0.64397906,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","COCA",1,4,2.04589852,0.50957535,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","PACA",1,5,3.14338591,0.5082702,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","STCA",1,6,2.39485263,0.45955882,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","UECA",1,7,-1.2900115,0.30843373,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","HNCA",1,8,0.72309548,0.36370507,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","SKCA",1,9,0.21938687,0.31277519,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","THCA",1,10,1.30297681,0.45054945,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","PRCA",1,11,0.97240092,0.50430694,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","OVCA",1,12,1.38535114,0.65054719,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-T cell","LUCA",1,13,1.35975652,0.50770509,FALSE,13,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Mural","LICA",2,1,-1.1512058,0.67365326,FALSE,11,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
