"lr_pair","cancer_type","strength","group_pair","z_score"
"ADAM10-CD44","BRCA",0.0011415,"Endothelial-Mural",-0.5447073
"APP-CAV1","BRCA",0.04764005,"Endothelial-Mural",-2.2740216
"APP-CD74","BRCA",0.02159467,"Endothelial-Mural",-1.3931672
"COL18A1-ITGB1","BRCA",0.04172091,"Endothelial-Mural",-1.2305549
"COL18A1-KDR","BRCA",0.00635453,"Endothelial-Mural",-0.9173253
"COL1A1-ITGA5","BRCA",0.00345912,"Endothelial-Mural",-1.0035287
"COL1A1-ITGAV","BRCA",0.00194218,"Endothelial-Mural",-0.9391821
"COL1A2-ITGAV","BRCA",0.0027493,"Endothelial-Mural",-1.0739354
"COL4A1-CD47","BRCA",0.000902,"Endothelial-Mural",-0.8387683
"COL4A1-ITGA1","BRCA",0.00440975,"Endothelial-Mural",-1.0941034
"COL4A1-ITGAV","BRCA",0.00648272,"Endothelial-Mural",-0.7215915
"COL6A2-ITGB1","BRCA",0.04612687,"Endothelial-Mural",-1.2979211
"EDN1-EDNRA","BRCA",0.00136191,"Endothelial-Mural",-0.7845009
"GNAI2-EDNRA","BRCA",0.00716362,"Endothelial-Mural",-0.8474455
"HBEGF-CD44","BRCA",0.00283937,"Endothelial-Mural",-0.1700204
"ICAM1-CAV1","BRCA",0.04012578,"Endothelial-Mural",0.17621053
"LAMA4-ITGA6","BRCA",0.00248423,"Endothelial-Mural",-0.7984288
"LAMA4-ITGAV","BRCA",0.00217956,"Endothelial-Mural",-0.5944226
"LAMC1-ITGA1","BRCA",0.00074304,"Endothelial-Mural",-0.885885
"PGF-NRP1","BRCA",0.00304869,"Endothelial-Mural",-0.6913859
"PGF-NRP2","BRCA",0.00272468,"Endothelial-Mural",-0.6607892
"THBS1-ITGA6","BRCA",0.00248273,"Endothelial-Mural",-0.561602
"THBS1-ITGB1","BRCA",0.01310899,"Endothelial-Mural",-0.4800484
"TIMP1-CD63","BRCA",0.07773792,"Endothelial-Mural",-2.2583787
"TIMP3-CD44","BRCA",0.00758031,"Endothelial-Mural",-0.7130857
"ADAM10-CD44","COCA",0.00178509,"Endothelial-Mural",-0.4832724
"APP-CAV1","COCA",0.10589782,"Endothelial-Mural",0.41998295
"APP-CD74","COCA",0.0631516,"Endothelial-Mural",0.23480462
"BGN-LY96","COCA",0.01283816,"Endothelial-Mural",-0.3367457
"COL18A1-ITGB1","COCA",0.07892637,"Endothelial-Mural",0.18755886
"COL18A1-KDR","COCA",0.01499162,"Endothelial-Mural",-0.4305249
"COL1A1-ITGA5","COCA",0.0359463,"Endothelial-Mural",0.29496085
"COL1A1-ITGAV","COCA",0.00841629,"Endothelial-Mural",-0.1034506
"COL1A2-ITGA1","COCA",0.01228359,"Endothelial-Mural",-0.2597406
"COL1A2-ITGAV","COCA",0.00878316,"Endothelial-Mural",-0.2138615
"COL4A1-CD47","COCA",0.00828492,"Endothelial-Mural",-0.387834
"COL4A1-ITGA1","COCA",0.03644924,"Endothelial-Mural",0.21992035
"COL4A1-ITGAV","COCA",0.01074577,"Endothelial-Mural",-0.2707935
"COL5A2-ITGB1","COCA",0.01898215,"Endothelial-Mural",-0.5588563
"COL6A1-ITGA1","COCA",0.00961083,"Endothelial-Mural",-0.0868232
"COL6A2-ITGA1","COCA",0.01504689,"Endothelial-Mural",-0.0848711
"COL6A2-ITGB1","COCA",0.08916429,"Endothelial-Mural",0.1717841
"COL6A3-ITGA1","COCA",0.0032707,"Endothelial-Mural",-0.0942365
"COL6A3-ITGB1","COCA",0.02059425,"Endothelial-Mural",-0.3058445
"EDN1-EDNRA","COCA",0.00259317,"Endothelial-Mural",-0.3344102
