"lr_pair","cancer_type","strength","group_pair","z_score"
"B2M-CD247","BRCA",0.04753324,"B cell-T cell",-0.4467277
"B2M-CD3D","BRCA",0.17521175,"B cell-T cell",-0.7010148
"B2M-CD3G","BRCA",0.05657159,"B cell-T cell",-0.8301905
"GRN-TNFRSF1B","BRCA",0.00247127,"B cell-T cell",-0.2906918
"ICAM3-ITGB2","BRCA",0.00438344,"B cell-T cell",-0.9610087
"LGALS1-PTPRC","BRCA",0.02771169,"B cell-T cell",-0.9161908
"MIF-CD74","BRCA",0.05461905,"B cell-T cell",-0.6946524
"MIF-CXCR4","BRCA",0.06954061,"B cell-T cell",0.11256591
"VIM-CD44","BRCA",0.04874363,"B cell-T cell",-0.4383178
"B2M-CD247","COCA",0.05032516,"B cell-T cell",-0.2949261
"B2M-CD3D","COCA",0.2546385,"B cell-T cell",1.16969438
"B2M-CD3G","COCA",0.10982806,"B cell-T cell",0.51930723
"CCL5-SDC1","COCA",0.0176006,"B cell-T cell",0.31709112
"GRN-TNFRSF1B","COCA",0.00261689,"B cell-T cell",-0.236303
"ICAM2-ITGB2","COCA",0.0029268,"B cell-T cell",-1.2452049
"ICAM3-ITGB2","COCA",0.01042983,"B cell-T cell",0.84759628
"LGALS1-PTPRC","COCA",0.06023701,"B cell-T cell",-0.1442716
"MIF-CD44","COCA",0.03076612,"B cell-T cell",-0.5972223
"MIF-CXCR4","COCA",0.06001884,"B cell-T cell",-0.2251771
"VIM-CD44","COCA",0.06055667,"B cell-T cell",-0.1941462
"B2M-CD247","HNCA",0.05199202,"B cell-T cell",-0.2042964
"B2M-CD3D","HNCA",0.2659489,"B cell-T cell",1.43608418
"B2M-CD3G","HNCA",0.14709508,"B cell-T cell",1.46363883
"CALM3-SELL","HNCA",0.01018782,"B cell-T cell",1.04957299
"CLEC2D-KLRB1","HNCA",0.00304021,"B cell-T cell",-0.6974596
"FAM3C-LAMP1","HNCA",0.00153618,"B cell-T cell",0
"GNAI2-CXCR3","HNCA",0.00243894,"B cell-T cell",0.37842371
"GNAI2-S1PR4","HNCA",0.00155381,"B cell-T cell",-0.7071068
"GRN-TNFRSF1B","HNCA",0.00280571,"B cell-T cell",-0.1657824
"ICAM3-ITGB2","HNCA",0.00435091,"B cell-T cell",-0.9707395
"LTB-CD40","HNCA",0.01291113,"B cell-T cell",1.62418919
"MIF-CD44","HNCA",0.05709549,"B cell-T cell",1.09985978
"MIF-CD74","HNCA",0.15067394,"B cell-T cell",1.66685047
"MIF-CXCR4","HNCA",0.09222825,"B cell-T cell",0.91731046
"SYK-LAT","HNCA",0.00473528,"B cell-T cell",0.2400908
"B2M-CD247","KICA",0.05561656,"B cell-T cell",-0.0072245
"B2M-CD3D","KICA",0.18867716,"B cell-T cell",-0.3838691
"B2M-CD3G","KICA",0.05601646,"B cell-T cell",-0.8442574
"B2M-KLRD1","KICA",0.050937,"B cell-T cell",0.1443998
"CALM3-SELL","KICA",0.00337897,"B cell-T cell",-0.6115362
"GRN-TNFRSF1B","KICA",0.00251936,"B cell-T cell",-0.27273
"ICAM3-ITGB2","KICA",0.01245971,"B cell-T cell",1.4547798
"LGALS1-PTPRC","KICA",0.0543277,"B cell-T cell",-0.2845164
"LTB-CD40","KICA",0.0035321,"B cell-T cell",-0.6495217
"VIM-CD44","KICA",0.04348811,"B cell-T cell",-0.5469476
"B2M-CD247","LICA",0.05487475,"B cell-T cell",-0.0475579
"B2M-CD3D","LICA",0.22999754,"B cell-T cell",0.5893348
"B2M-CD3G","LICA",0.06052907,"B cell-T cell",-0.7299095
"B2M-KLRD1","LICA",0.06799886,"B cell-T cell",1.53214742
"CLEC2D-KLRB1","LICA",0.00692567,"B cell-T cell",1.55730199
"GRN-TNFRSF1B","LICA",0.00336698,"B cell-T cell",0.04384114
"ICAM2-ITGB2","LICA",0.00323896,"B cell-T cell",1.12435721
"ICAM3-ITGB2","LICA",0.00929196,"B cell-T cell",0.50723623
"LGALS1-PTPRC","LICA",0.06845459,"B cell-T cell",0.05075509
"MIF-CD44","LICA",0.03554857,"B cell-T cell",-0.2889653
"MIF-CD74","LICA",0.08797271,"B cell-T cell",0.12534503
"MIF-CXCR4","LICA",0.1005298,"B cell-T cell",1.21177129
"VIM-CD44","LICA",0.03459458,"B cell-T cell",-0.7307739
"B2M-CD247","LUCA",0.05038729,"B cell-T cell",-0.2915481
"B2M-CD3D","LUCA",0.17415768,"B cell-T cell",-0.7258411
"B2M-CD3G","LUCA",0.05461293,"B cell-T cell",-0.8798221
"B2M-KLRD1","LUCA",0.04224126,"B cell-T cell",-0.5628789
"CALM3-SELL","LUCA",0.00380306,"B cell-T cell",-0.5080737
"CLEC2D-KLRB1","LUCA",0.00299253,"B cell-T cell",-0.7251266
"GRN-TNFRSF1B","LUCA",0.00218709,"B cell-T cell",-0.3968255
"ICAM3-ITGB2","LUCA",0.00460664,"B cell-T cell",-0.8942455
"LTB-CD40","LUCA",0.01092552,"B cell-T cell",1.14282778
"MIF-CD74","LUCA",0.03489146,"B cell-T cell",-1.179654
"MIF-CXCR4","LUCA",0.02028477,"B cell-T cell",-1.6345688
"B2M-CD247","OVCA",0.05062361,"B cell-T cell",-0.2786992
"B2M-CD3D","OVCA",0.17104287,"B cell-T cell",-0.7992029
"B2M-CD3G","OVCA",0.0515017,"B cell-T cell",-0.9586596
"B2M-KLRD1","OVCA",0.0350695,"B cell-T cell",-1.1462032
"GNAI2-CXCR3","OVCA",0.00182119,"B cell-T cell",-1.1339852
"GRN-TNFRSF1B","OVCA",0.00283773,"B cell-T cell",-0.1538253
"ICAM2-ITGB2","OVCA",0.0030595,"B cell-T cell",-0.237891
"ICAM3-ITGB2","OVCA",0.01001702,"B cell-T cell",0.72411576
"LGALS1-PTPRC","OVCA",0.06572239,"B cell-T cell",-0.0140878
"LTB-CD40","OVCA",0.00211766,"B cell-T cell",-0.9924177
