"lr_pair","cancer_type","strength","group_pair","z_score"
"FST-BMPR2","BRCA",0.0706666666666667,"T cell-B cell",1.52860353512744
"FST-BMPR2","COCA",0.0350515463917526,"T cell-B cell",-0.0758444376667038
"FST-BMPR2","HNCA",0.0217418625109966,"T cell-B cell",-0.675440765186371
"FST-BMPR2","KICA",0.037344398340249,"T cell-B cell",0.0274476930992655
"FST-BMPR2","LICA",0.0386370876654406,"T cell-B cell",0.0856828682509058
"FST-BMPR2","LUCA",0.0226169179657552,"T cell-B cell",-0.63601984116218
"FST-BMPR2","OVCA",0.0254894178822805,"T cell-B cell",-0.506614784199152
"FST-BMPR2","PACA",0.0294796746908717,"T cell-B cell",-0.326855193383405
"FST-BMPR2","PRCA",0.075708041958042,"T cell-B cell",1.75571562414764
"FST-BMPR2","SKCA",0.0240312427812428,"T cell-B cell",-0.572305032239303
"FST-BMPR2","STCA",0.00992555831265509,"T cell-B cell",-1.20776089131835
"FST-BMPR2","THCA",0.0145985401459854,"T cell-B cell",-0.997244791091348
"FST-BMPR2","UECA",0.072265625,"T cell-B cell",1.60063601562157
"THBS2-CD36","BRCA",0.107015457788347,"T cell-B cell",1.6894013218605
"THBS2-CD36","COCA",0.0648648648648649,"T cell-B cell",0.310633753596933
"THBS2-CD36","HNCA",0.013902970001336,"T cell-B cell",-1.35635603187645
"THBS2-CD36","KICA",0.0438144329896907,"T cell-B cell",-0.377936697122939
"THBS2-CD36","LICA",0.068010731524155,"T cell-B cell",0.413536669619604
"THBS2-CD36","LUCA",0.0572808833678399,"T cell-B cell",0.0625578191636656
"THBS2-CD36","OVCA",0.0349356183842734,"T cell-B cell",-0.668367288331878
"THBS2-CD36","PACA",0.0292185338865837,"T cell-B cell",-0.855376061962813
"THBS2-CD36","PRCA",0.0471304193319119,"T cell-B cell",-0.26946907879645
"THBS2-CD36","SKCA",0.0342356302358239,"T cell-B cell",-0.691264260599933
"THBS2-CD36","STCA",0.032258064516129,"T cell-B cell",-0.755951452150831
"THBS2-CD36","THCA",0.0673499267935578,"T cell-B cell",0.391921407097519
"THBS2-CD36","UECA",0.119771863117871,"T cell-B cell",2.10666989950307
