cancer_type,n_pairs,spearman_rho,ci95_low,ci95_high,p_value,n_above_identity,frac_above_identity,binomial_p_vs_0.5
OVCA,340,0.455944408230683,0.367397626942427,0.536300073139055,7.39084444969514e-19,225,0.661764705882352,2.48465716305835e-09
KICA,389,0.447276795980212,0.364034975167725,0.523429771237087,1.56619563165859e-20,275,0.706940874035989,1.83381109346161e-16
HNCA,273,0.396129900584602,0.291100570313665,0.491724248795047,1.08230419629715e-11,174,0.637362637362637,6.62300355843961e-06
LUCA,295,0.353989823262062,0.249891906882995,0.449998313917062,3.90062424729879e-10,169,0.572881355932203,0.0143333821318958
SKCA,286,0.347083212038282,0.240791089485164,0.445148587970716,1.61371354772383e-09,175,0.611888111888111,0.000184389218081093
LICA,291,0.32500620894185,0.218176205281984,0.424139311539592,1.38579019800334e-08,199,0.683848797250859,3.29548779387499e-10
COCA,312,0.319063358231471,0.215663382450779,0.415387310041607,8.18895669168016e-09,209,0.669871794871794,1.9569746081509e-09
UECA,344,0.265280857904272,0.164142155040826,0.360900176393843,5.97444301184464e-07,213,0.619186046511627,1.15061477757082e-05
STCA,386,0.252582368913282,0.156715708982819,0.343733885600761,4.95309082618732e-07,283,0.733160621761658,1.59845389531907e-20
BRCA,253,0.210431816939809,0.0894223427084493,0.325319155183917,0.000756215026340719,180,0.711462450592885,1.32307279730034e-11
PRCA,162,0.201638249917791,0.048962355483779,0.345106356807235,0.0100807498499723,100,0.617283950617283,0.00351893499322374
PACA,234,0.142518772433848,0.0145360772947736,0.265906960327553,0.0292885105120549,143,0.611111111111111,0.000819291595159908
THCA,152,0.057675353166711,-0.102469108411286,0.214905640896813,0.480320318513573,90,0.592105263157894,0.0281928418176428
