cancer_type,lr_pair,sc_lr_score,visium_median_jaccard,x_sc_scaled,y_visium_scaled
BRCA,ADAM10-AXL,0.5647114,0.0721153846153846,0.458357849071578,0.527014366021236
BRCA,ADAM10-GPNMB,0.26443636,0.0509383378016085,0.214634379943308,0.372253936463972
BRCA,ADAM10-NOTCH2,0.2211155,0.0422297297297297,0.179472248968918,0.308612016138561
BRCA,ADAM10-TSPAN14,0.23941031,0.0586592178770949,0.194321550330239,0.428677607221742
BRCA,ADAM15-ITGAV,0.49083465,0.0567164179104477,0.398394497479245,0.414479756122572
BRCA,ADAM15-ITGB1,1.1476388,0.0631163708086785,0.93150103199455,0.461250180175851
BRCA,ADAM17-ITGB1,0.9536152,0.0539772727272727,0.7740183957929,0.394462267900743
BRCA,ADM-ADRB2,0.21793924,0.0178173719376391,0.176894182187033,0.130208152198861
BRCA,ADM-CALCRL,0.6457691,0.0684210526315789,0.524149743874285,0.500016437095236
BRCA,ADM-RAMP2,0.6917136,0.0946745562130177,0.561441397977016,0.691875270263776
BRCA,ADM-RAMP3,0.48075408,0.0628742514970059,0.390212427164008,0.459480788578993
BRCA,AGRN-ITGB1,0.8976188,0.0597976080956761,0.728567941880067,0.43699688614579
BRCA,ANGPT1-ITGA5,0.4654054,0.0711297071129707,0.377754403559583,0.51981110132527
BRCA,ANGPT1-ITGB1,0.8100997,0.055045871559633,0.65753153916413,0.402271516082264
BRCA,ANGPT1-TEK,0.20893371,0.0738893322692205,0.169584686822587,0.539978255808794
BRCA,ANGPT1-TIE1,0.30317223,0.0861538461538461,0.246075023881284,0.629606495940037
BRCA,ANGPTL4-GPIHBP1,0.41097417,0.0227434322914261,0.333574347153567,0.166207468962951
BRCA,ANGPTL4-TIE1,0.5399647,0.103626943005181,0.438271758754259,0.757298709032243
BRCA,ANXA1-ADRA2A,0.68206084,0.0522765598650927,0.553606567103752,0.382033573030346
BRCA,APOE-LDLR,0.5288495,0.0623376623376623,0.42924991296896,0.455559431199655
BRCA,APOE-LRP6,0.44416907,0.0589849108367626,0.360517566228206,0.431057749400451
BRCA,APOE-LSR,0.4477457,0.0374220374220374,0.363420600297865,0.273477725070479
BRCA,APOE-SCARB1,0.5256721,0.0451612903225806,0.426670920886207,0.330035663194374
BRCA,APOE-SDC2,0.4229408,0.0836575875486381,0.343287270936291,0.611364006445387
BRCA,APP-ADRA2A,0.8196665,0.0238532110091743,0.665296599105364,0.174317656968981
BRCA,APP-CAV1,1.4218748,0.0569620253164556,1.0,0.416274638477533
BRCA,APP-CD74,1.6076332,0.0360110803324099,1.0,0.263166545839597
BRCA,APP-LRP10,0.8138365,0.0525838621940163,0.660564578005582,0.384279317720169
BRCA,APP-TSPAN12,0.39294836,0.0458715596330275,0.318943384330127,0.335226263401887
BRCA,ARPC5-ADRB2,0.56662184,0.0250368188512518,0.459908490990938,0.182967383235256
BRCA,BGN-LY96,0.73705333,0.111486486486486,0.598242179969882,0.814735722605803
BRCA,BGN-TLR4,0.66786695,0.109062980030721,0.542085848927426,0.797024900911584
BRCA,BMP1-BMPR2,0.32280573,0.118012422360248,0.262010896310541,0.862426821745725
BRCA,BMP2-BMPR2,0.17675167,0.0509554140127388,0.143463573218124,0.372378728262988
BRCA,BMP2-ENG,0.16931306,0.06,0.137425895778493,0.438475952529668
BRCA,BSG-SELE,0.93210304,0.0271339220014716,0.756557676235116,0.198292871591016
BRCA,CALM3-AQP1,0.7645222,0.0904761904761904,0.620537767007131,0.661193896671722
BRCA,CALM3-INSR,0.49920946,0.059967585089141,0.405192057964093,0.438239066547751
BRCA,CALM3-MYLK,0.62121314,0.0728862973760933,0.504218471002004,0.532648144472387
BRCA,CALM3-PDE1A,0.27748954,0.0361113546049555,0.225229220968908,0.263899343459075
BRCA,CALR-ITGA3,0.6169473,0.0457142857142857,0.500756027624938,0.334076916213081
BRCA,CALR-ITGAV,0.72760206,0.0520156046814044,0.590570891966497,0.380126530151425
BRCA,CCL20-ADRA2A,0.27384788,0.0124999999999999,0.222273404166467,0.0913491567770136
BRCA,CD99-CD81,0.7893129,0.0939334637964774,0.640659570691241,0.686459416876193
BRCA,COL18A1-ITGA3,0.31982034,0.135416666666666,0.259587752490459,0.989615865084321
BRCA,COL18A1-ITGA5,0.97612745,0.178394449950445,0.792290855827816,1.0
BRCA,COL18A1-ITGB1,1.3208218,0.148584905660377,1.0,1.0
BRCA,COL18A1-ITGB5,0.6638098,0.137037037037037,0.538792792425714,1.0
BRCA,COL18A1-KDR,0.83460194,0.181663837011884,0.677419209262229,1.0
BRCA,COL1A1-CD36,0.7069229,0.144694533762057,0.573786291375457,1.0
BRCA,COL1A1-CD93,1.0653188,0.220338983050847,0.86468456939866,1.0
BRCA,COL1A1-FLT4,0.39051807,0.131868131868131,0.316970797098808,0.963683412153117
BRCA,COL1A1-ITGA1,0.46154934,0.183006535947712,0.37462456526078,1.0
BRCA,COL1A1-ITGA2,0.48157302,0.0757790368271954,0.390877134086728,0.553788089243089
BRCA,COL1A1-ITGA5,0.7051147,0.18450184501845,0.57231863433384,1.0
BRCA,COL1A1-ITGAV,0.5857593,0.10969387755102,0.475441743909673,0.801635457430942
BRCA,COL1A1-ITGB1,1.049809,0.117845117845117,0.852095769938387,0.861204171635151
BRCA,COL1A2-CD36,0.7776332,0.133471645919778,0.631179538643364,0.975401784672961
BRCA,COL1A2-CD93,1.1360292,0.213855421686746,0.92207789783331,1.0
BRCA,COL1A2-FLT4,0.46122837,0.124653739612188,0.374364044366715,0.910961120213993
BRCA,COL1A2-ITGA1,0.53225964,0.177905308464849,0.432017812528687,1.0
BRCA,COL1A2-ITGA2,0.5522833,0.0693069306930693,0.448270365121287,0.506490374209188
BRCA,COL1A2-ITGAV,0.6564696,0.121649484536082,0.53283499117758,0.889006226778366
BRCA,COL1A2-ITGB1,1.1205194,0.112627986348122,0.909489098373037,0.823077726591528
BRCA,COL3A1-ITGA2,0.46743792,0.0745762711864406,0.379404133838439,0.544998359076424
BRCA,COL3A1-ITGB1,1.035674,0.11050477489768,0.84062285085684,0.807561440538953
BRCA,COL4A1-CD47,0.69955856,0.0783898305084745,0.567808896475634,0.572867593347377
BRCA,COL4A1-CD93,1.2848566,0.283995186522262,1.0,1.0
BRCA,COL4A1-ITGA1,0.6996299,0.233333333333333,0.567866800829881,1.0
BRCA,COL4A1-ITGA2,0.7011107,0.135207496653279,0.569068717955877,0.988087264736647
BRCA,COL4A1-ITGAV,0.8052969,0.162207357859531,0.653633262845428,1.0
BRCA,COL4A1-ITGB1,1.3322287,0.163716814159292,1.0,1.0
BRCA,COL4A2-CD93,1.2392182,0.266203703703703,1.0,1.0
BRCA,COL4A2-ITGB5,0.5666964,0.14792899408284,0.459969008914299,1.0
BRCA,COL5A2-ITGA1,0.2981101,0.168207024029574,0.241966257848722,1.0
BRCA,COL5A2-ITGB1,0.88636976,0.12258064516129,0.719437462526329,0.895811085813301
BRCA,COL6A1-ITGA1,0.52007353,0.181818181818181,0.422126743979071,1.0
BRCA,COL6A1-ITGA2,0.5400972,0.0785340314136125,0.438379304688345,0.573921403834644
BRCA,COL6A1-ITGA6,0.66428554,0.0888888888888888,0.539178935087465,0.649594003747657
BRCA,COL6A1-ITGB1,1.1083332,0.116279069767441,0.899597956773352,0.849759597925714
BRCA,COL6A2-ITGA1,0.7939028,0.175925925925925,0.644385043014721,1.0
BRCA,COL6A2-ITGA2,0.81392646,0.0831353919239905,0.66063759560732,0.607547836046651
BRCA,COL6A2-ITGB1,1.3821626,0.114369501466275,1.0,0.835804601596142
BRCA,COL6A3-ITGA1,0.30130416,0.178502879078694,0.244558772310809,1.0
BRCA,COL6A3-ITGA2,0.3213278,0.0918918918918919,0.260811308670061,0.671539747117511
BRCA,COL6A3-ITGB1,0.88956386,0.118556701030927,0.722030009455114,0.866404373555187
BRCA,CSF1-SIRPA,0.18621752,0.0572519083969465,0.151146695332595,0.418393084474874
BRCA,CXCL12-ACKR3,0.24632251,0.141466580142764,0.199931957919589,1.0
BRCA,CXCL12-ADRA2A,0.35626617,0.103835978835978,0.289169645553762,0.758826328782605
BRCA,CXCL12-AVPR1A,0.39001447,0.0963855421686747,0.316562041382539,0.704379040208303
BRCA,CXCL12-ITGB1,1.0267749,0.117977528089887,0.833399741256657,0.86217181677182
BRCA,CXCL2-ADRA2A,0.7943045,0.0431432973805855,0.644711089820172,0.315288306903716
BRCA,CXCL3-ADRA2A,0.59571314,0.0159574468085106,0.483520951611878,0.11661594482172
BRCA,DCN-MET,0.28988233,0.0657894736842105,0.23528804494235,0.480785035668496
BRCA,DLL1-NOTCH3,0.531934,0.0911808669656203,0.431753501147738,0.666343624920523
