subtype,lineage,Malignant,Boundary,Normal
ABC,B cell,0.00231196413641732,0.0106051156881134,0.00446221848859226
Arterial_EC,Endothelial,0.00485201338799418,0.00202933740341299,0.0127536783358701
Bgc,B cell,0.000812531018235543,0.0066993473030092,0.000598170903676096
Bmem,B cell,0.0,0.00146629050692765,0.000299373756319319
Bn,B cell,0.00171105876400586,0.0143904544947873,0.000299373756319319
CCL2+_iEC,Endothelial,0.0,0.00151805347005316,0.0
CD14+_EC,Endothelial,0.0184268961497563,0.00341468025546536,0.034290969051243
CD14+_Mono,Myeloid,0.0365782853021784,0.0253209168280772,0.0
CD16+_Mono,Myeloid,0.0955817107908034,0.0259520347184649,0.0604061241903707
CD16+_NK,T cell,0.0328299008477575,0.0180380812667716,0.00382367417237907
CD16-_NK,T cell,0.0135587251995761,0.0100940114053678,0.00295572314461884
CD1C+_cDC,Myeloid,0.0017932942636986,0.0132674623345561,0.0
CD4_CXCL13+_T,T cell,0.00447725018152147,0.000509165988820662,0.00284838912076746
CD4_Cycling_Treg,T cell,0.00145585999595249,0.0217803304585453,9.51293759512937e-05
CD4_Tcm/Tn,T cell,0.000899631165059423,0.0210071332016549,0.00208775330265437
CD4_Tem/Effector,T cell,0.00476665594302128,0.00470150542408333,0.00446221848859226
CD4_Tfh,T cell,0.00871075232198678,0.00626698395664057,0.000434865474959708
CD4_Th1,T cell,0.0557712061035531,0.00371644030304075,0.0541686202498695
CD4_Th17,T cell,0.00518281342611399,0.00586524822324572,0.014655866985906
CD4_Treg,T cell,0.00348586531425526,0.00107017435346142,0.000447398037767999
CD4_Unassigned_T,T cell,0.00168362670311838,0.0108291612988012,0.00679062479816295
CD8_Cycling_Tex,T cell,0.00847549806771235,0.0158240206605841,0.000126179708999391
CD8_ISG15+_T,T cell,0.0142282086559808,0.00118167688823034,0.000147923398043561
CD8_Tcm/Tn,T cell,0.0,0.0127396103682195,0.0
CD8_Tem/Temra,T cell,0.00721672202972594,0.00211028043124137,0.00606377193188323
CD8_Tem/Trm,T cell,0.00293083102129962,0.0316665310484724,0.00606377193188323
CD8_Tex,T cell,0.0128122803658753,0.0324194023232711,0.0115040297582975
CD8_Trm,T cell,0.0237094230778543,0.00546780177676329,0.00523052859441502
CLEC9A+_cDC,Myeloid,0.000102011299674396,0.00163798107844256,0.0
CXCL14+_mCAF,Fibroblast,0.0,0.0112037435541666,0.0
CXCL3+_Macro,Myeloid,0.0172072047651487,0.0100210866641292,0.38925620427993
Capillary_EC,Endothelial,0.0565468156839873,0.00820778838407323,0.0269469812278031
Cycling_Bgc,B cell,0.0,0.165419850162311,0.0
Epi_Basal,Epithelial,0.0,0.00369370160454524,0.0
Epi_Ciliated,Epithelial,0.0,4.88400488400488e-05,0.0
Epi_Cycle,Epithelial,0.0,0.0,0.0
Epi_ER-Stress,Epithelial,0.00259655955858487,0.00957819151593208,0.0
Epi_Glandular,Epithelial,0.000324569944823109,0.00167800453514739,0.0
Epi_Hormonal,Epithelial,0.00129827977929243,0.00363474924163338,0.0
Epi_Hypox-Adapt,Epithelial,0.0,0.000468050468050468,0.0
Epi_Hypox-Stress,Epithelial,0.0,0.0822819028152869,0.0
Epi_Interferon,Epithelial,0.0,0.0321780734978295,0.000380517503805175
Epi_Luminal,Epithelial,0.0,0.0300827479303646,0.0
Epi_MHCII,Epithelial,0.00129827977929243,0.0756430743172761,0.0
Epi_Oxphos-Ion,Epithelial,0.0,0.00363474924163338,0.0
Epi_Oxphos-Metal,Epithelial,0.0,0.0,0.0
Epi_Squamous,Epithelial,0.0,0.000109890109890109,0.0
Epi_TNF,Epithelial,0.0,0.00336452435090404,0.0
Epi_Xenobiotic,Epithelial,0.0,0.00210570078453093,0.0
Epi_cEMT,Epithelial,0.0,0.00892141862079128,0.00190258751902587
FOLR2+_Macro,Myeloid,0.00333231854391768,0.0439860812188717,0.0
Fibrosis_PGF+_Tip_EC,Endothelial,0.00134646178949976,0.000628619944541043,0.00452815829528158
HMGB2+_cycEC,Endothelial,0.0223953261927945,0.00885827415627712,0.0
HMOX1+_iEC,Endothelial,0.0,0.00297353701769251,0.0
HSP+_tCAF,Fibroblast,0.012549577155299,0.00617384817242979,0.0243531202435312
HSPA6+_Macro,Myeloid,0.0,0.133817742669002,0.0
IL6+_iCAF,Fibroblast,0.0407714498051534,0.00865359467005848,0.0463850837138508
ILC3,T cell,0.0102137939799235,0.00171758683563288,9.43299694306946e-05
ISG15+_mCAF,Fibroblast,0.00883422525591587,0.0220761287782459,0.0113712605402774
LAMP3+_cDC,Myeloid,0.0176287413922576,0.0016750774085309,0.0669405413910289
LILRA4+_pDC,Myeloid,0.0013209863094295,0.00842419925078798,0.00184750807097079
Lymphatic_EC,Endothelial,9.19614843665476e-05,0.00564984307868625,0.0
MAIT,T cell,0.0100382864500817,0.00418417445638082,0.233184771467177
Macro,Myeloid,0.0947214047171268,0.0737933625208561,0.123848887812422
Mast,Myeloid,0.00997582157667192,0.0197230192468165,0.0
NK,T cell,0.0209419249877426,0.0169947158181273,0.00217975793421278
NR4A2+_Bn,B cell,0.0,0.0189812887315625,0.000299373756319319
Normal_Fibroblast,Myeloid,0.0,0.00393740561664591,0.0
PGF+_Tip_EC,Endothelial,0.00661516167845281,0.0023867488160524,0.0243531202435312
PI16+_iCAF,Fibroblast,0.00520539315359731,0.00207487548340658,0.0
Pericyte,Mural,0.0407692403071766,0.00547162749520652,0.00234018264840182
Plasma,B cell,0.00019821950201697,0.000141851258134189,0.0
Plasmablast,B cell,0.0,0.0,0.0
SMC,Mural,0.000470626419993508,0.00103362554075662,0.0025050735667174
SPP1+_CXCL3+_Macro,Myeloid,0.00702597376175038,0.00470466243667238,0.0257195240071952
SPP1+_MT1+_Macro,Myeloid,0.0179565219858852,0.00797160112647044,0.0299597801043738
SPP1+_Macro,Myeloid,0.0040022485326939,6.29136658548423e-05,0.0
SPP1+_cycMacro,Myeloid,0.000148102506317494,0.0313180880370207,0.0
SPRY1+_EC,Endothelial,0.00266143951613119,0.0155769816621745,0.0261478944698122
TMEM100+_EC,Endothelial,0.000102780482527317,0.0017824918093319,0.0
TNFSF10+_Macro,Myeloid,0.00916075476838378,0.00427087175578803,0.0391740354844735
Tip_EC,Endothelial,8.11424862057773e-05,0.00183102103490692,0.00604388635210553
